名称,摘要
割草机,本发明提供一种割草机，其使切割器旋转而进行割草，具有：割草机主体；支架，其安装在割草机主体上，以可自由旋转的方式支撑切割器；从动轴，其以可自由旋转的方式支撑在割草机主体内，与切割器连接；从动侧接头，其安装在割草机主体上，同时，以可自由拆卸的方式，安装发动机输出侧接头和电动机输出侧接头中的任一个；从动侧连接部件，其在从动侧接头内连接在从动轴上，同时，连接在设置于发动机的输出轴上的发动机的驱动侧连接部件、和设置于电动机的输出轴上的电动机的驱动侧连接部件中的任一个上；以及可自由拆卸的辅助部件，其对应于选择性地安装的发动机或电动机而被装备，并对其驱动进行辅助。
一种割麻机,一种割麻机，包括机架、驱动所述机架运动的动力系统，所述机架前方设置有切割装置和输送装置，所述动力系统通过切割传动装置驱动所述切割装置的动刀片做水平往复运动以切割麻杆并将麻杆切割成为麻纤维加工过程所需长度的麻杆；所述动力系统通过输送传动装置驱动所述输送装置将被切割后的麻杆输送到机架的一侧。本发明可在收割麻类植物的过程中将其切割成为所需长度的多段麻杆，既便于运输和处理，又为麻纤维加工省去了初加工程序，提高了生产效率。
多功能秸秆切碎青贮机,本发明公开了一种农业机械，特别公开了一种多功能秸秆切碎青贮机。该多功能秸秆切碎青贮机，包括机架，机架内设置有喂给装置和破碎装置，其特征在于：所述的机架前端设置有用来切断秸秆的秸秆削断旋转刀，喂给装置包括转向相反的上喂给棍和下喂给棍，上喂给棍和下喂给棍之间设置有一定的间隙，两喂给棍的间隙的右上方设置有传送链，传送链与机架的上端有一定的距离，传送链的末端设置有破碎装置，破碎装置的下端设置有收集装置。本发明的有益效果是：实现玉米秸秆削断、秸秆喂入、秸秆输送、秸秆切碎、秸秆二次破碎、灭茬保墒、秸秆收集青贮、剩余玉米果穗二次收获作业一次完成，负荷轻、耗能低、效率高。
一种扶禾爪输送装置,本发明公开了一种扶禾爪输送装置，包括扶禾爪、输送链条及链轮结构、链条导轨及输送装置的附着件，输送链条及链轮结构安装在链条导轨上，扶禾爪安装在输送链条上，其特征在于：所述链条导轨包括两条折弯的实心方杆金属体及折弯成沟槽的箱体金属板，两实心方杆金属体分别焊接在沟槽的两侧壁上，在链条导轨上固定有一面盖板。所述沟槽由上部分与下部分构成，在下部分的底部向底面方向设有加强沟槽。采用本发明具有制作上结构简单，在维修保养时拆卸安装十分方便，可有效提高生产效率，降低劳动强度的优点。
联合收割机,一种联合收割机，能高效地将废气向离开机体的方向排出。其具备脱谷部(15)；配置在上述脱谷部的侧方，贮存收割、脱谷、分选后的稻谷的谷粒收容部；搭载在机体上，与上述脱谷部及上述谷粒收容部相比配置在机体前方的发动机(34)；包括排气消音器(42)和尾管(61)，与上述发动机连接的排气装置。其中，使上述排气装置的上述尾管的一端与上述发动机的排气歧管(36)连接，使上述尾管在从该连接的部分经过上述脱谷部与上述谷粒收容部之间朝向机体的后方延伸的同时，朝向机体的上方弯曲，将上述尾管的具有排出口的另一端配置在上述脱谷部的上方，由设置在脱谷部上的支承部件(82、83)支承着上述尾管(61)。
用于检测一株或多株植物的感应组件,用于检测一株或多株植物的感应组件。本发明提供了一种感应组件，其包括安装在与收割头关联的分禾器上的前部端点。至少一个可移动臂能够与矗立在田地里的一株或多株植物相互作用。传感器检测可移动臂的位置。安装组件可操作地支撑可移动臂和前部端点，其中，当该安装组件固定至分禾器时，前部端点的后部与分禾器的前边缘分隔开而所述的至少一个可移动臂位于前部端点的底部的上方。
采棉机,本发明公开了一种采棉机，该采棉机主要由机架(1)、风箱(2)、风轮(3)、吸棉管(4)、储棉袋(5)和动力装置(6)等部件组成，其中风箱(2)和动力装置(6)安装在机架上，风轮(3)安装在风箱(2)内并与动力装置(6)相连，吸棉管(4)连接在风箱(2)的吸气口(7)上，储棉袋(5)的袋口连接在风箱(2)的排气口(8)上。该设备体积小、结构简单、制造成本低，用其进行棉花采摘，操作简单劳动强度低，收棉效率高且收得的棉花杂质含量少。
普通型联合收割机,本发明提供一种普通型联合收割机，其能有效利用所具有的功能，高效率地进行拾取作业。包括以沿水平方向的横向姿势收割种植茎秆的主收割装置(63)和使耙拢用齿在主收割装置(63)的上方侧位置转动而耙拢操作作为收割对象的种植茎秆的滚筒式耙拢装置(64)，在主收割装置(63)上具有前端侧比割刀更向前下方突出而可拾起横倒姿势的茎秆的拾取装置(5)。
割草机,本发明公开了一种割草机，包括壳体，设置在壳体内的动力源，由动力源旋转驱动的驱动轴，设置在驱动轴上的工作头，工作头与驱动轴成角度设置，割草机还包括与工作头配合的调节机构，调节机构可作动地使工作头的至少部分相对于驱动轴的轴线的夹角可以调节。此种割草机可以实现两个工作模式，即静音工作模式，以及收草工作模式，并可以在两个工作模式之间很方便地进行转换。
联合收割机,本发明的联合收割机具备七条量的收割宽度，提高收割作业的效率的同时，简化该收割装置的传动机构。在收割装置(6)的下部传动箱(38)的前侧配置八根分草框架(43)，在各分草框架(43)之间分别形成七个谷物秆导入路径(44)。做成设置于各谷物秆导入路径(44)每个上的七个扒拢轮体(53)中的最右侧的第一扒拢轮体(53a)和邻接的第二扒拢轮体(53b)啮合而联动并进行旋转的结构，做成使第三扒拢轮体(53c)和邻接的第四扒拢轮体(53d)和第五扒拢轮体(53e)分别啮合而联动并进行转动的结构，做成使第六扒拢轮体(53f)和邻接的最左侧的第七扒拢轮体(53g)啮合而联动并进行旋转的结构。
油菜割晒机,本发明公开了农业机械领域内的油菜割晒机，旨在解决移栽油菜的机械化割晒问题，该装置包括可挂接在联合收获机前方的机架、机架前上方设置的拨禾轮、由动力传动机构驱动的割禾机构和输送机构，所述割禾机构包括设置在机架前方并相互垂直的竖割刀和水平割刀，水平割刀位于机架的前下方，竖割刀位于机架的一侧；所述输送机构包括设置在机架中间位置的横向输送带；横向输送带远离竖割刀的一端设有排禾口，输送机构还包括设置在排禾口上部的横向拨动机构和设置在排禾口后侧下部的纵向拨动机构。该装置通过横向拨动机构和纵向拨动机构，使割倒后的油菜能顺利排出并铺放整齐，可避免炸荚损失，提高了油菜的采收率。
甘蔗联合收割机,本发明公开了一种甘蔗联合收割机，包括有装在行走车架上的剥叶输送装置，该剥叶输送装置的壳体内设有剥叶轮，所述壳体沿甘蔗输送方向位于所述剥叶轮后的顶面设有蔗叶排出口，该蔗叶排出口与一抽风机入口相连通。本发明用于收割甘蔗，与现有的甘蔗联合收割机相比可以很好地解决排叶和堵塞问题。
筛片式油莎豆收获机,一种筛片式油莎豆收获机，涉及一种收获油莎豆的农业机械。本机是由旋耕耙、铲土板、筛片式筛土输送带、筛笼、输送带、收集箱、机架、车轮及动力传输组件构成；铲土板装在机架下面靠前的位置上；筛片式筛土输送带装在机架上；筛笼在机架后部的上方；收集箱装在筛片式筛土输送带的上方；输送带装在收集箱的上方；旋耕耙装铲土板前；筛片式筛土输送带由主动轮、从动轮、两条皮带、细轴及筛片构成；两条皮带装在主动轮和从动轮的两边上，若干个细轴均匀的装在两条皮带间，与细轴对等数量的筛片铺在细轴上，筛片的一边以铰链的方式与对应的细轴相联。由于采用了旋耕耙和筛片式筛土输送带，大大的提高了本机的工作效率，降低了能耗。
多果型果蔬采摘机器人的末端执行器及机器人,本发明公开一种多果型果蔬采摘机器人的末端执行器及机器人，末端执行器包括夹持器、电磁铁组件、偏心刀片、执行器电机和执行器外壳，夹持器一端设于执行器外壳内部，另一端伸出执行器外壳，夹持器设于执行器外壳内部的一端设有实现夹持器夹紧或张开用的电磁铁组件，偏心刀片通过偏心机构设于执行器外壳的内侧，执行器电机与偏心机构连接；机器人包括依次连接的工作台、大臂、小臂和末端执行器，工作台设于固定机构上，大臂和小臂组成机械手，机器人上设有相应的4个伺服电机和4个旋转关节，实现4个自由度控制。本发明使用时，其反应灵活、使用方便，采摘速度快、采摘效率也高。
半喂入式联合收割机的扶禾装置,本发明涉及一种半喂入式联合收割机的扶禾装置。包括若干扶禾臂，扶禾臂设有链轮以及与链轮相适配的拨禾链，拨禾链设有拨禾指，所述的扶禾臂的下端后侧设有辅助扶禾盘，该辅助扶禾盘由转盘和连接在转盘边缘的弹性扶禾指构成，处于最下侧的弹性扶禾指的末端低于处于最下侧的拨禾指的末端。本发明提供一种能够较为完整的扶起秸秆的半喂入式联合收割机的扶禾装置。
联合收割机,一种联合收割机，收割部以收割输入轴(23)为转动中心能够升降转动，而且能够以竖直支轴(21)为转动中心与收割输入轴(23)一起水平转动，在收割部水平地打开转动时，即使因任何振动等，无意中使收割部纵摆动或上浮，也能够可靠地阻止收割部向下转动到下限。在收割输入管(23)的背面侧径向向外突出的承受部(71)一体设置在竖直支轴(21)上的支持部件(22)上。止动部件(74)沿收割输入管(23)的长度方向可滑动地设置在收割输入管(23)上，该止动部件(74)从下方与承受部(71)抵接，用于使收割部不能下降转动地保持收割部。
联合收割机,本发明涉及联合收割机。使操纵部容易向比发动机还向外侧方离开设定距离的位置横向移动，较大地敞开发动机的上侧及其周边以提高维修效率。在具备行驶装置(2)的机体框架(1)的上侧左右并排设置脱粒装置(3)和谷粒储存装置(5)，在机体框架的前侧设置收割装置(4)，在该收割装置(4)和谷粒储存装置(5)之间的机体框架上设置发动机(11)，设置连杆机构(15)，该连杆机构(15)以与位于该操纵部(6)的前侧的收割装置(4)以及位于该操纵部的后侧的谷粒储存装置不干涉地，从覆盖发动机上侧的第一位置向比该发动机还向外侧方离开设定距离的第二位置在维持纵姿势的状态下横向移动自如的方式支撑具备座椅(7)的操纵部。
一种用于油茶果采摘机的可避让式采摘机构,本发明公开了一种用于油茶果采摘机的可避让式采摘机构，它包括固定在基架上的轴心共线的左右短轴，该左右短轴上分别装有左右支撑轮，左右支撑轮周向铰接有多根横梁，该横梁上并列布置有多根采摘头，所述横梁一端固接有连杆，该连杆的另一端通过连杆轴铰接在副支撑轮的周向，所述基架上安装有一个支撑中心，副支撑轮可绕该支撑中心做周向转动；所述左右支撑轮、副支撑轮、连杆和基架组成了一个双曲柄机构；所述采摘头的采摘丝铰接在采摘丝架上，固接在采摘丝架上的弹性U形钢丝将所述采摘丝夹持。本发明操作方便，可实现连续回转收割，机构间协调性能良好，特别是能避免机构被树枝卡死，实用性强很强，可为油茶果采摘机的推广应用提供技术支持。
一种油茶果采摘机,本发明公开了一种油茶果采摘机，属于油茶果采摘设备领域，为了解决现有油茶果大多采用人工采摘，劳动强度大，效率低的问题，该油茶果采摘机包括机架，驱动该机架移动的底盘行驶系统，所述机架上装有采摘臂，该采摘臂上装有采摘头，该采摘头一侧设有输料管，该输料管的一端与一装在机架上的用于临时存放油茶果的吸料机构相连。本发明操作方便，可实现满足要求的范围内的采摘运动，工作效率高，机构间协调性能良好，特别是采用电液一体化控制，集成度高，控制方便，实用性强很强，可为油茶果种植的推广提供技术支持，代替人工采摘。
联合收割机负荷反馈自动控制装置的控制方法,本发明公开了一种农业机械领域中的联合收割机负荷反馈调速装置及控制方法，该负荷反馈自动控制装置包括控制器和传感系统，且与具有自动和手动调速的调速执行机构连接，电机驱动器分别连接控制器和电机；控制器分别连接液晶显示器、声光报警系统和传感系统；控制器由单片机及其外围电路组成；传感系统多种传感器及其调理电路组成，由传感系统采集联合收割机工作状态信号进入控制器进行多信号融合模糊控制算法及预测控制算法等处理，选择相应的控制策略来驱动执行机构工作，从而实现联合收割机工作负荷的自动控制，同时实时显示机组工作状态，遇到故障时及时进行声光报警；结构简洁紧凑，功能灵活全面且便于扩展。
联合收割机,本发明为一种联合收割机，其特征在于：所述输送隧道前部下方两侧分别设置有锥形扶禾器，所述两锥形扶禾器上侧分别设有由倾斜链传动机构带动的自下而上循环运行的拨杆，所述输送隧道上方纵向设置有用于折曲并导送稻穗的高低错位高拐杆和低拐杆，所述高拐杆伸向脱粒机构一侧，所述低拐杆伸向输送隧道另一旁侧，所述输送隧道另一旁侧水平设置有用于辅助高拐杆及低拐杆折曲稻穗的由水平链传动机构带动的自前向后循环运行的拨杆，该联合收割机的可以有效的提高对倒伏的稻穗的扶直、脱粒和收割工作，而且脱粒分离效果好，机械结构简单，行进速度快，脱粒和收割工作效率极高，具有极大的使用价值和广阔的市场空间。
紧凑型割草机,在一个示例性实施例中，提供了一种紧凑型割草机(100)，该割草机包括至少一个护罩(102)，该护罩通过共用后轴(108)定位成距草坪固定距离(104)，该共用后轴延伸在一对后轮(110)之间并被其支撑。该示例性实施例还包括马达调节构件(126)，马达调节构件限制在护罩内并由护罩支撑。马达调节构件与马达相互作用，其包括附接到马达的马达轴(180)的切割构件(124)。在一个示例性实施例中，通过操纵马达调节构件，设定切割构件相对于表面的高度。也就是说，马达调节构件以第一方向旋转以使马达运动得更接近草坪，并且以相反方向旋转以使马达运动得更远离草坪，从而允许将草切割成期望长度，而同时护罩保持距草坪固定距离。
一种玉米收获机籽粒输送升运装置,本发明公开一种玉米收获机籽粒输送升运装置，包括籽粒收集机构、籽粒输送机构、籽粒升运机构，以及用来驱动所述籽粒输送机构和所述籽粒升运机构的传动机构；所述籽粒收集机构与所述籽粒升运机构通过所述籽粒输送机构连接。利用本发明的玉米收获机籽粒输送升运装置使得玉米收获机在实际工作的过程中不需要停车即可把籽粒直接输送到粮仓或粮袋中，节约停车卸载籽粒的时间，提高收割效率。
园林工具,本发明公开了一种割草机，自割草机主机壳体朝后方延伸的操作机构，所述操作机构包括设置于主体壳体的固定杆，以及能相对固定杆进行位置调节的活动杆，所述固定杆与活动杆之间设置有定位装置，所述定位装置包括设置于固定杆的第一定位件以及设置于活动杆上的第二定位件，所述第一定位件与第二定位件可选择地啮合并且于所述啮合位置自动锁定；活动杆可相对固定杆进行折叠，也可相对固定杆调节至不同高度上的操作位置。
一种多用途玉米背负收获机,本发明涉及一种农业机械，特别是一种多用途玉米背负收获机，其特征是：在拖拉机上通过可拆卸连接件分别可拆卸连接有玉米果穗收割及玉米茎秆铡切单元、玉米果穗处理机构；拖拉机的动力通过动力传动机构分别带动玉米果穗收割及玉米茎秆铡切单元、玉米果穗处理机构；拖拉机上通过可拆卸连接件分别可拆卸连接有玉米果穗收割及玉米茎秆铡切单元、玉米果穗输送机构及粮箱；玉米果穗收割单元将玉米果穗摘后通过玉米果穗输送机构送到粮箱；同时玉米茎秆铡切单元将铡切后的玉米茎秆直接还田。它既可用作玉米青贮、又可以茎穗兼收、还可以秸秆铡切还田。
玉米青贮茎穗兼收秸杆还田自走收获机的设计方法,本发明涉及一种农业机械设计方法，特别是玉米青贮茎穗兼收秸杆还田自走收获机的设计方法，其特征是：玉米青贮、茎穗兼收、秸杆还田多用途自走收获机由行走驱动机构和收割机构组成，在收割机构上固定有玉米果穗收割及玉米茎秆铡切单元和粮箱，收割机构通过可拆卸连接件可拆卸连接有玉米果穗粉碎机构或玉米果穗输送机构。它设计的自走收获机具有布局合理、结构紧凑、体积小、重量轻，它具有可互换性可以完成青贮、茎穗兼收或铡切还田，它作业时间长，效益高，能耗低，大小地块都能收割的特点。
甘蔗整秆剥叶装置和具有该装置的收获机及其剥叶方法,一种甘蔗整秆剥叶装置和具有该装置的收获机以及用于该装置和收获机的剥叶方法，甘蔗整秆收获机包括收割装置、动力装置及底盘、侧输送装置、剥叶装置和集蔗装置，剥叶装置包括导向罩板，一对切稍辊、横置剥叶辊、竖置剥叶辊、限速辊及动力传动系统。甘蔗以稍部在先姿态喂入导向罩板，对置切稍辊从甘蔗生长点压碎去除稍部并喂入横置剥叶辊；横置和竖置剥叶辊上固定多排剥叶刷，甘蔗通过时，完成甘蔗上、下、左、右四个方向的剥叶，同时甘蔗在切稍辊和限速辊的带动下作一定的轴向旋转，达到全方位剥叶。本发明减少了动力消耗及提高了甘蔗整秆剥叶率，一次作业可完成整秆甘蔗入土切割、横向直立输送、纵向输送、碎梢、剥叶、集堆放置联合作业。
新型智能割草机压力传感器,本发明公开了一种新型智能割草机压力传感器，包括底座和上盖，所述底座与上盖间设有控制割草机工作状态的通断控制结构，所述通断控制结构包括固定连接在上盖上的与割草机工作电路串联的接触片组件及设在底座上的用于触发接触片组件动作的触发部，所述触发部包括设在底座上的触发柱，触发柱上还设有伸缩调节结构。本发明可以有效避免由于产品机壳在生产中存在的微量变形或者机壳安装时存在的尺寸误差对通断控制结构动作的影响，结构简单，灵敏度高，控制精确，测量范围稳定可靠，提高了产品的品质。
甘蔗联合收获机切割器提升机构,本发明涉及一种甘蔗联合收获机切割器提升机构，其结构包括设置有提升液压缸、行程导杆、联动常夹紧装置和刀盘角度调整架，提升液压缸的缸体以螺栓固定在收割机机体台架上，并与联动常夹紧装置连接，行程导杆固定在收割机机体台架上；联动常夹紧装置设有一咬合口，大咬合面设置在联动常夹紧装置的端头，小咬合面一端用咬合口螺栓连接在联动常夹紧装置，咬合口的端头大小咬合面上用螺栓固定有一只薄型松开液压缸或手动调整螺栓和复位压紧弹簧，刀盘角度调整架设置变向位。本发明采用独立提升机构，结构简单、紧凑合理，易于实现，维护和维修方便，具有较高刚性，抗振性能较高，甘蔗宿根端面切割质量得以提升。
一种自动开启草箱门集草箱能位移的青贮机,本发明涉及农业机械领域，特别是一种自动开启草箱门集草箱能位移的青贮机，其特征是：青贮自走车上置有草箱支撑框架，草箱支撑框架上方固定连接有集草箱，青贮自走车的车架的后部固定连接有草箱斜支撑架，草箱斜支撑架与液压缸油缸铰接，液压油缸的活塞端与草箱支撑框架铰接，草箱斜支撑架的上部固定连接有升降跑道，草箱支撑框架的后斜面上部固定有草箱轴，草箱轴的两边转动连接有升降滚轮，升降滚轮位于升降跑道的轨道内，集草箱分为草箱体和草箱门两部分。它提供了在集草箱装满后行走安全，不易翻车，在给接草运输车卸草时，能升高自动开启草箱门集草箱能位移的青贮机。
悬挂式棉花采摘机,本发明公开了一种悬挂式棉花采摘机，包括棉花采摘头、棉花输送机构、贮棉箱，其特征在于所述棉花采摘头设有能够与机车前部连接的悬挂架，棉花采摘头的动力输入端设有液压马达，所述贮棉箱设有与机车后部连接的牵引架，棉花输送机构设于棉花采摘头的出料口与贮棉箱之间。与现有技术相比，本发明采用了采用液压马达驱动棉花采摘头，可大大简化棉花采摘头的传动机构并减轻重量，进而采用前悬挂方式与现有的机车连接，可省去动力，因而整个采棉机构的结构大为简化，造价、维护和使用成本都大大降低，非常适合我国国情。
大蒜收获机,本发明的大蒜收获机，主要包括机架、作业状态行走前轮、作业状态行走后轮及作业铲，整机分为两部分：大蒜收获专用机械部分和配套动力机部分，作业状态行走前轮及作业铲设置于大蒜收获专用机械部分，作业状态行走后轮即配套动力机之着地动力轮，其特征在于：作业状态行走前轮设置于作业铲之前，并与转向操纵装置相连，作业状态行走前轮与作业状态行走后轮均对应于作业蒜行之行间设置，在大蒜收获专用机械上设有司机座位，并且本机还设置了蒜苗夹拔传输系统、蒜苗夹持传输系统、蒜头位置调整装置，蒜头泥土切削刀具，以及大蒜根系切除装置，其有益效果是可确保大蒜收获作业操作精确无误，并可完成大蒜收获作业的全部工序，措施得力，效果理想，是一种理想的大蒜收获机械。
芦苇收割机,本发明涉及一种芦苇收割机，包括机车，设置在机车下部的行走机构、切割机构，设置在机车上的送料机构和设置在机车后部的放料机构的收割机，其中：机车前部两侧设置有分苇器，分苇器上设置有包括电动机、滚筒和螺旋叶片的电滚筒装置，其中电动机与滚筒用联轴器联接，螺旋叶片设置在滚筒的筒身上；电滚筒装置为两组，分别设置在两侧的分苇器上，且两组电滚筒装置与分苇器底部导杆向驾驶室前端成倾斜角度，两组电滚筒装置之间间距从上至下设置为上窄下宽的结构；所述的送料机构包括底部走料装置和顶部夹紧提升输送装置，两装置由液压输送马达驱动同步运作。本发明提高了芦苇的收割效率，减轻了劳动强度，降低了收割成本，同时适用于其它高杆作物的收割。
棉花收获机机架结构,棉花收获机机架结构(12)包括主构件(12s)，其被抬高至大约驾驶室地板水平并以平面形式向后水平延伸越过发动机舱(40)和后轴(62)。主构件(12s)连接至所述后轴(62)的中央部分以便为更大的车轮和轮胎(18)提供增加的间隙。所述主机架结构的单独抬高的平面(P)提供包括一横向安装的发动机(46a)的动力单元的简化的连接。在所述主结构构件下面的通道区域(52、54)具有足够的最小宽度和高度(D2和D4)，以允许操作者或装配工在进入所述动力单元(46)的大多数区域和收获机鼓风机(94)时完全地站立。
双α结同时成型方法及装置,本发明公开了一种双α结同时成型方法及装置，适用于高密大方捆双绳、双结捆扎作业。双α结同时成型方法可在一套以两组具有镜像结构关系的对称布置且等速相向转动的鹰嘴型打结嘴、两组具有镜像结构并对称布置的控制打结舌开合的凸轮、两组与打结嘴铰接的打结舌、位于两套打结嘴中间的推切组件为主要零部件的专用打结装置上完成，可实现对已成型的前捆的捆绳封闭(前捆打后结)和对待成型的后捆上下绳端的接合(后捆打前结)。本发明打双α结所需时间短，无绳头产生，打结运动关系简单，运转可靠性高。
一种果实振荡状况下采摘机器人的采摘方法,"本发明公开了一种采摘机器人的果实采摘方法,该方法通过图像采集步骤连续实时采集果实图像；目标果实检测步骤对采集的图像进行预处理，去除背景，检测出图像中的目标果实；快速傅立叶变换对目标果实振荡周期计算步骤；单目视觉测距方法对目标果实深度计算；机器人直动关节行程速度确定步骤和目标果实采摘步骤。通过该方法可以实现满足苹果等类球状果实震荡下的采摘机器人采摘过程，提高采摘机器人的采摘效率。"
环保型带假脚防护和消声槽的推骑两用割草机,本发明涉及一种用于庭院、公园及道路旁边等场所修剪草坪的草坪割草机，特别是一种环保型(带假脚防护和消声槽)推骑两用割草机。主要改进是草坪割草机前部设有含倒钩齿的进草杆；割草机中部两侧设有含转动铰链的假脚防护板；割草机后部设有含脚踏的推骑两用轮；特别是加设有消声槽(含消声管和水槽)；用水代配重，降低运输成本；用脚踏协助自走，省油及锻炼身体；加消声管，使减噪；加防护板，确保安全；还使压草对中；是综合效果有利于喂草，配重，降噪，降温，节能，环保，保墒和安全的草坪压草割草机。
一种收割机的双向割刀,本发明涉及一种收割机的双向割刀，包括动割刀和定割刀，所述的动割刀由动刀片和动刀板构成，所述的动割刀由左割刀和右割刀构成，左割刀的右端设有左边界动刀片，右割刀的左端设有右边界动刀片，左、右边界动刀片均为直角梯形结构，其竖直腰相对设置，左、右边界动刀片对应于一个共用定刀片。本发明实现了一种结构简单、切割没有盲区、不易出现卡刀、可靠性高的一种收割机的双向割刀。
一种组合式拨禾指,本发明涉及一种联合收割机的拨禾指，它由本体和组合体构成，所述的本体左端设有与拨禾链相连的铰接座，本体的右端设有与组合体相适配的安装座，所述的安装座上设有卡接机构，所述的组合体的长度为拨禾指总长的1/2到2/3。本发明提供了一种结构简单、更换成本低、装卸方便的一种组合式拨禾指。
联合收割机,提供一种通过对副切断装置的安装形态加以改进、能够在维持正副切断装置的割取作业的良好程度的同时使切割残留株的株高度一致的联合收割机的割取前处理构造。设有在比割取植立禾秆的主切断装置(9)低的位置上对植立禾秆作用的副切断装置(14)。副切断装置(14)受升降框架(13)升降自如地支承。将副切断装置(14)和主切断装置(13)构成为，在一边进行切割高度调节一边作业行进的情况下，将副切断装置(14)维持为不与主切断装置(9)的升降动作联动的状态，在畦边旋转时，使副切断装置(14)与主切断装置(9)的上升动作联动。
辣椒采摘器,本发明涉及农业果蔬采摘装置，是一种辣椒采摘器，其包括中间轴、左幅盘、右幅盘和弧形板，在左幅盘和右幅盘的中部均有安装孔，左幅盘和右幅盘通过安装孔固定安装在中间轴的两端，在左幅盘和右幅盘的外端面之间固定安装有至少两块的弧形板，相邻弧形板相互固定安装在一起呈圆筒状，在每块弧形板的外表面上固定安装有至少一个的采摘装置。本发明结构合理而紧凑，使用方便，通过有效模仿人工采摘的动作，能快速高效的采摘辣椒，因此极大的提高了工作效率，降低了工作强度和辣椒破碎率。
涡轮高压喷水采藕机,本发明的目的在于制造一种实现鲜藕规模化、机械化采挖，并且能够较好保持鲜藕品质的莲藕采挖机械，以解决人工采挖鲜藕的破损率高、品质低、速度慢、负荷重、成本高等缺弊。船体以水泵9的一端为船头，以管枪头7的一端为船尾，水泵9由75钢管5连接管枪头7固定于枪头支架25，当水泵9开始工作后，高压水流经由75钢管5自管枪头7导出，从而推动船体向前行进，同时达到将水底的莲藕从淤泥中冲刷剥离的效果。水泵9、75钢管5、管枪头7和枪头支架25的组合共有三套，分别布于船体的左中右，从而保证船体动力的灵活性和采藕效果的稳定性。船头安置有连接架24，起到固定三台水泵9，并隔挡垃圾防止阻塞水泵的作用。
制动系统的改进,本发明涉及制动系统的改进或者与制动系统有关的改进，特别是用于缩短园艺机械中移动体(如旋转式割草机的旋转刀片)停止时间的装置。还涉及包括上述装置的园艺机械，特别地是一种草坪养护机械，如割草机。描述了一种用于缩短园艺机械可移动体停止时间的装置，其包括一个制动器，其持久地作用在可移动体的驱动机构的部件上。特别地，描述了一种装置，其包括通过间接驱动组件驱动从动轴的电机。该装置包括一套制动系统，其中制动元件与间接驱动总成的一个部件大致持久地接触。在一个优选的实施例中，制动系统包括环形制动盘，并且制动元件包括被偏置成与制动盘接触的制动垫。本发明还涉及包括上述装置的草坪养护装置，特别是优选旋转式割草机。
一种稻草秸杆切割捡拾打捆装置,一种稻草秸杆切割捡拾打捆装置，采用以橡胶履带为行走部件的自走式底盘，在底盘上安装有一套专为适应稻草秸杆回收的稻草秸杆切割、捡拾和打捆装置；其特征在于：所述的稻草秸杆切割、捡拾和打捆装置，采用以橡胶履带为行走部件的自走式底盘，底盘上安装有机架，机架上装有发动机，发动机输出轴上有两组皮带，一组皮带与行走变速器连接，皮带为橡胶带；发动机上另一组橡胶皮带与稻草秸杆切割、捡拾和打捆装置的工作变速器连接，工作变速器输出轴的一端装有皮带轮，又通过皮带与稻草秸杆切割、捡拾和打捆装置的剪切装置连接；工作变速器另一端输出轴则通过链传动与捡拾打捆装置相连。
一种割台搅龙多指伸缩送料机构,本发明涉及一种割台搅龙多指伸缩送料机构，属于农业机械技术领域。该机构包括由动力轴驱动的滚筒主体，滚筒主体外表面固定螺旋盘，滚筒主体内装有固定的偏心轴；偏心轴上套装有一组间隔分布的指杆座，指杆座上延伸出与安置在滚筒主体外表面的球铰头成动配合的主动扒指；各主动扒指至少从三个方向按序伸出滚筒主体外表面，其改进之处在于：滚筒主体内的同向相邻两主动扒指之间固连有连接横梁，连接横梁上固定有从动扒指，从动扒指与安置在同向相邻主动扒指对应球铰头之间的中间球铰头成动配合，并穿出滚筒主体外表面。本发明以巧妙的结构改进解决了现有技术的难题，同时可以满足高、低茬收割时物料输送的需要。
玉米剥皮机剥皮橡胶辊机构,本发明涉及一种玉米剥皮机剥皮橡胶辊机构，包括辊轴和橡胶套，所述橡胶套套装固定于辊轴上，其特征是：所述橡胶套为圆柱形，所述橡胶套上固定有横向、纵向或螺旋形的刀片或刀片组，所述刀片或刀片组内的每个刀片一旁的橡胶套上开有刀片刃口，所述刀片或刀片组内的每个刀片固定高度与橡胶套厚度平齐或略高于橡胶套厚度。本发明的优点是：大大降低了玉米棒剥皮时玉米粒的破籽率，即：成熟度在65%-75%时，破籽率在5%以下，成熟度在75%-85%的，破籽率在2%以下。
用于棉花收获机的棉花调节器,用于棉花收获机的棉花调节器，调节机构位于棉花收获机上棉花收获机构的前部。对置元件挤压部分棉花植株以挤压棉花棉铃并使棉花棉铃变形。形变使得棉纤维相对棉铃变形以改善收获机构收获棉籽与纤维的性能。在一种实施例中，对置元件的差动表面速度改善了棉铃打开及纤维取向，从而使摘锭具有更有效的接触。
由独立驱动单元运行的拖拉型棉花收割机,一种由独立驱动单元运行的拖拉型棉花收割机，其包括剥离型棉花采摘平台，具有与机械的向前方向平行排列的一系列指状物，其中指状物的前端靠近地面且其后端沿向上方向倾斜；清洁装置，从采摘平台接收收割的棉花，所述清洁装置包括一套与棉花接合并将重块或杂质从棉花移除的旋转的有齿的圆柱体，同时与有齿的圆柱体相切设置的旋转刷将干净棉花从上述指状物脱离；且还包括挂车，从清洁装置接收干净棉花，然后储存棉花和运输棉花。
