名称,摘要
挤奶室中的柜箱,本发明涉及一种奶杯箱（1），其被布置为存储不在使用中的至少两个奶杯（3）。所述奶杯箱包括用于每一个奶杯（3）的移除设备，该移除设备被布置为在已完成挤奶过程时将所述奶杯（3）收回到所述奶杯箱中。每一个移除设备包括汽缸（8）和活塞（9）。所述移除设备的所述汽缸（8）由一件式制造的至少一个汽缸轮廓（35、38、39）形成，该至少一个汽缸轮廓（35、38、39）构成所述奶杯箱的唯一承重结构。所述至少一个汽缸轮廓（35、38、39）在一侧上包括用于附接挤奶部件的集成附接区域（37），并在另一侧上包括用于每一个汽缸（8）的导轨（13），该导轨（13）适于能移动的导向元件（6），该能移动的导向元件（6）支撑连接到所述奶杯的奶管（4）和脉动管（5）。
一种羊奶脱膻装置,本发明公开了一种羊奶脱膻装置，涉及农牧产品机械技术领域。所述羊奶脱膻装置包括第一脱膻塔、流量计；所述第一脱膻塔顶部设置有塔顶压力表和塔顶真空安全阀，塔体上部设置有上视镜，塔体下部设置有下视镜，塔体中部设置有塔体压力表，塔体底部设置有出料口，出料口设置有温度探头；所述第一脱膻塔与上视镜垂直设置有第一喷嘴；所述流量计通过管路与第一喷嘴连接，流量计另一端通过管路连接隔膜调节阀、温度探头、压力表；所述塔体底部经温度探头通过管路与第一脱膻输奶泵连接，所述第一脱膻输奶泵通过管路依次连接第一隔膜调节阀、蝶阀。本发明所述的装置解决了羊奶脱膻的工业化问题，使其羊奶脱膻工业化成为现实，填补了市场的空白。
用于实现至少一次测量并且用于从挤奶机取得奶样品的设备,本发明涉及用于实现至少一次测量并且用于从挤奶机取得奶样品的设备，奶能够流动通过该设备，该设备包括空气分离装置、测量装置、采样装置和向顶部开口的通道。根据本发明，空气分离装置被设计为将奶和与奶混合的空气分离。测量装置配置在空气分离装置的下游。测量装置通过空气分离装置的第一奶排出开口连接到空气分离装置，测量装置被设计为对流过测量装置的奶实现一次或多次测量。采样装置被设计为将奶供给到样品容器。向顶部开口的通道配置在测量装置的下游，并且被设计为容纳已与空气分离装置中的混有的空气分离的奶的至少一部分并且用于引导所述奶，使得所述奶的至少一部分流到采样装置。
一种羊奶单塔脱膻装置,本发明公开了一种羊奶单塔脱膻装置，涉及农牧产品机械技术领域。所述羊奶单塔脱膻装置包括脱膻塔、流量计；所述脱膻塔顶部设置有塔顶压力表和塔顶真空安全阀，塔体上部设置有上视镜，塔体下部设置有下视镜，塔体中部设置有塔体压力表，塔体底部设置有出料口，出料口设置有温度探头；所述脱膻塔与上视镜垂直设置有喷嘴；所述流量计通过管路与喷嘴连接，流量计另一端通过管路连接隔膜调节阀、温度探头、压力表；所述塔体底部经温度探头通过管路与脱膻输奶泵连接，所述脱膻输奶泵通过管路依次连接隔膜调节阀、蝶阀。本发明所述的装置解决了羊奶脱膻的工业化问题，使其羊奶脱膻工业化成为现实，填补了市场的空白。
挤奶装置,一种挤奶装置，包括器皿（2）和盖板（3）。该器皿和盖板形成密封的容积，该密封容积的内部分成收集室（4）、真空室（5）和进气室（6）。该收集室布置在该真空室与该进气室之间。该器皿具有第一内壁（7），该第一内壁将该收集室与该进气室隔离，并且在该收集室与该进气室之间具有第一通路（9），该第一通路布置在该第一内壁处。该器皿具有第二内壁（8），该第二内壁将该收集室与该真空室隔离，该收集室与该真空室之间具有第二通路（10），该第二通路布置在该第二内壁处。
奶杯内套和奶杯,本发明涉及一种奶杯（1）和一种用于待附接到动物的奶头以进行挤奶操作的奶杯内套（3）。所述奶杯内套限定用于接纳所述奶头的内部空间和延伸穿过所述内部空间的纵向中心轴线（x）。所述奶杯内套由彼此附接且沿着纵向中心轴线相继布置在彼此之后的至少三个分离的环形区段构成。第一区段（11）形成具有用于使所述奶头被引入到所述内部空间内的开口的上部。第二区段（12）形成在所述挤奶操作期间接合所述奶头的管部。第三区段（13）形成具有面向所述内部空间（4）的内表面的环模块。所述环模块包括为所述挤奶操作提供附加功能的功能构件。
用于动物的挤奶室,本发明涉及一种用于动物的挤奶室，包括：被设置为将动物接纳在预定挤奶位置的至少一个挤奶隔间（3）；被设置为用在所述挤奶隔间中的奶杯；被设置为当所述奶杯（9）不被使用时将所述奶杯（9）储存在所述挤奶隔间（3）中的奶杯架（8）；和被提供具有至少一个抓取构件（13a）的至少一个机械臂（13），该至少一个抓取构件（13a）被设置为抓取所述奶杯架（8）中的奶杯（9）并且将所述奶杯（9）附接到所述挤奶隔间（3）中的动物（4）的奶头上。所述奶杯架（8）将所述奶杯（9）储存在储存区域中，当所述动物站在所述挤奶隔间中的所述预定挤奶位置时，所述储存区域相对于所述动物的方向至少部分地位于所述动物（4）的前腿（4a）前方。
挤奶机自动检测装置及方法,本发明涉及挤奶的过程中可实时检查挤奶机有无异常或破损状态的挤奶机自动检测装置及方法。本发明的挤奶机自动检测装置(50)包括：第一真空传感器(510)，测定通过第一真空管(30a)传输的真空压力；第二真空传感器(520)，测定通过第二真空管(30b)传输的真空压力；存储器部(530)，存储有对通过所述第一真空传感器(510)和所述第二真空传感器(520)测定的真空压力的波形相关诸数据实施分析，判定脉动器(20)有无异常或挤奶组件(40)有无异常的挤奶机状态分析程序(531)；显示部(540)，显示通过所述挤奶机状态分析程序(531)分析的结果数据；控制部(560)，控制所述第一真空传感器(510)、所述第二真空传感器(520)、所述存储器部(530)和所述显示部(540)的相互作用及信号流动。
挤奶器的握持设备,一种挤奶器(12，12′)的握持设备(10，10′)具有集乳器(14，62)，脉动管(16，64)，连接到动物的乳房的护罩和奶杯，所述握持设备设置在脉动管(16，64)连接到集乳器(14，62)的终端部，所述的握持设备具有可以用于稳固地、安全地、符合人体工程学的握持的元件，和用于挤奶器或器零部件快速地更换和维护的元件。
用于生产干酪原料乳的方法及用于生产干酪原料乳的装置,提供了干酪原料乳的生产，所述生产没有影响干酪的风味的风险，具有低的能量消耗，没有在离心分离器内积聚细菌的风险，提高了所述离心分离器的细菌清除率，并且不需要大容量的离心分离器。[解决手段]本发明提供有：第一离心分离器(3)，其将奶(1)分离成奶油部分(5)和脱脂乳部分(6)；微过滤器(11)，其将所述脱脂乳(6)分离成渗透物(14)和渗余物(15)；第二离心分离器(18)，其将所述渗余物(15)分离成洁净部分(20)和高细菌含量残渣(21)；以及用于使所述洁净部分(20)返回到所述微过滤器(11)中的装置。将所述奶油部分与所述渗透物组合以得到干酪原料乳(26)。
用于生产脱脂乳原料乳的方法及其设备,提供了脱脂乳原料乳的生产，所述生产没有影响干酪的风味的风险，具有低的能量消耗，没有在离心分离器内积聚细菌的风险，提高了所述离心分离器的细菌清除率，并且不需要大容量的离心分离器。[解决手段]本发明提供有：第一离心分离器(3)，其将原料乳(2)分离成奶油部分(5)和脱脂乳部分(6)；微过滤器(11)，其将所述脱脂乳(6)分离成渗透物(14)和渗余物(15)；第二离心分离器(18)，其将所述渗余物(15)分离成洁净部分(20)和高细菌含量部分(21)；以及用于使所述洁净部分(20)返回到所述微过滤器(11)中的装置；并且将所述渗透物作为脱脂乳原料乳(26)提供。
