名称,摘要
同源异源多倍体水稻的选育,本发明提出了通过远缘杂交和生物技术创建同源异源多倍体水稻的方法。它包括：a.选择亲本，b.杂交与激素处理，c.胚挽救培养，d.染色体加倍，e.加倍愈伤组织分化出苗或加倍丛芽生长成苗，f.生根培养，g.移栽培育，h.加倍水稻植株的鉴定等八个步骤。创建的同源异源多倍体水稻有两种，一种是以异源四倍体AsAsBB为母本与PMeS品系HN2026-2X(ApAp)为父本杂交加倍而形成的同源异源六倍体AsAsApApBB和以异源四倍体ApApBB为母本与PMeS品系Sg99012-4x(ApApApAp)为父本杂交加倍而形成的同源异源八倍体ApApApApApApBB。该技术体系的建立为充分利用众多的野生稻资源和通过远缘杂交和多倍体双重优势选育超级稻打下良好基础。
对霜霉病菌引起的洋葱霜霉病的抗性,本发明涉及葱(Allium)属植物，特别是洋葱(Allium?cepa)种植物或大葱(Allium?fistulosum)种植物，由于有Pd位点，其对霜霉病(Pd)菌引起的洋葱霜霉病具有抗性，其中含有Pd抗性位点的任意染色体片段能在后代中纯合地存在而不引起致死。本发明也包括该洋葱种或大葱种的植物，由于Pd抗性位点纯合地存在于所述植物的基因组上，所以对所述霜霉病菌引起的洋葱霜霉病有抗性。本发明也提供了获得对洋葱霜霉病有抗性的所述植物的方法，所述的方法适于获得栽培的洋葱和葱。
“莲瓣兰”的无菌播种和组织培养方法,提供兰花“莲瓣兰”的无菌播种和组织培养方法。以莲瓣兰为原料，包括种子萌发、增殖培养、试管苗诱导、炼苗移栽等步骤。莲瓣兰为珍稀兰花，具有很高的观赏价值和经济价值，其中有不少品种为兰花珍品，如小雪素等，千金难求。莲瓣兰种子小，极难发芽，分株繁殖又慢。本发明莲瓣兰组培苗无性系的建立，为莲瓣兰的繁殖提供了一条快速途径。
石斛属的快繁与离体保存方法,石斛属的快繁与离体保存方法：(1)取石斛属果实内种子或茎尖或带腋芽的幼茎，果实在纯乙醇中沾一下，然后在酒精灯火焰上燃烧然后取出种子用于接种；茎尖或幼茎在70％乙醇中浸一下，投入0.2％升汞8min，无菌水冲洗干净后接种在培养基中，待种子萌发长成原球茎或茎尖和幼茎长成拟原球茎，进行继代培养大量增殖，然后将原球茎或拟原球茎放在分化芽的培养基上，待芽条高2-3cm时转入生根培养基，长成具根和4-5片叶的试管苗；(2)将步骤(1)中所说的试管苗，在培养基为1/2MS+NAA1mg.L-1+S2％，温度为15-20℃中进行离体保存。
一种辣椒品种选育的方法,本发明提供了一种辣椒品种选育的方法，该方法首先以尖椒材料为母本，尖椒材料为父本，进行杂交，通过系统选育方法选育出一个优质亲本自交系；以尖椒材料为母本，甜椒材料为父本，进行杂交，而后通过系统选育方法选育出另一个优质亲本自交系；以上述两个优质自交系为亲本，利用杂种优势技术，选育出优质辣椒品种。本发明的优质辣椒品种，其果实头尾大小较为一致，外型美观；种植本发明选育出的优质辣椒品种，果实售价比其他品种每公斤高0.2～0.3元；以每亩1500公斤计，种植本发明选育出的优质辣椒品种每亩可多收入300～450元。
北五味子组织培养育苗生根方法,本发明涉及一种植物繁殖技术，即北五味子组织培养育苗生根方法。它是利用组织培养技术获得丛生苗，并截取其茎段在生根培养基中进行预处理，之后在基质中生根。具有繁殖快，繁殖系数大，管理方便，生产成本低，成苗率高，培养周期短，可周年生产和有利于实现工厂化生产的特点。
微型扦插快速生产满天星种苗的方法,本发明提供一种微型扦插快速生产满天星种苗的方法，经过外植体的选择和无菌体系的建立、继代增殖培养、根原基诱导培养、微型扦插、扦插苗的管理、扦插苗的移栽即成为可上市的优质种苗。本发明不仅可以缩短成苗时间还能延长供苗的时间，提高种苗质量。与现用技术相比成活率提高6.2％，定植成活率提高5.8％，优质苗达到85％以上，是一种经济实用而且高效的种苗生产技术。
一种铁皮石斛芽的生根法,本发明公开了一种铁皮石斛芽的生根法，依次包括以下步骤：1)、将生根培养液倒入培养容器内，向培养容器内添加滤纸桥或脱脂棉，直至膨胀后的滤纸桥或脱脂棉与生根培养液齐平；然后密封培养容器，进行高温灭菌；2)、割取2.5～6.0cm高的单株的铁皮石斛芽，并将高度差为0～±0.5cm的铁皮石斛芽接种到同一培养容器内进行培养；3)、待上述培养容器内的每个芽上都长出每条均长于2cm的至少3条根时，得试管苗，停止培养。采用本发明的铁皮石斛芽的生根法，能降低生产成本，还能提高试管苗的移栽存活率。
红蓝石蒜的组织培养和快速繁殖技术的方法,本发明公开了一种红蓝石蒜的组织培养和快速繁殖技术的方法，步骤如下：1)、培养基的配制；包括基本培养基和组培各阶段培养基的各组分与每升所含重量为：基本培养基：MS或1/2MS，其中蔗糖20～40g/L，琼脂8g/L，pH5.8；诱导培养基：MS+TDZ0.2～1.0mg/L+活性炭2g/L；增殖培养基：MS+6-BA3～7mg/L+NAA0.5～2.5mg/L；壮苗培养基：MS+6-BA0.5～2.5mg/L+NAA0.5～1.0mg/L；生根培养基：1/2MS+KT0.5～2.5mg/L+IBA0.5～2.5mg/L+活性炭2g/L；2)、外植体的选取与灭菌处理：3)、诱导培养、增殖培养、壮苗培养和生根培养：4)、组培苗的驯化与移栽。本发明的有益效果是：红蓝石蒜小芽的诱导率达90％以上；每个周期的增殖率在500％以上；红蓝石蒜小芽生长速度加快；有效地防止了外植体褐变现象，在防止小鳞茎褐变的同时还促进了组培苗的生根。
杂交鹅掌楸无性系营养体悬浮细胞系诱导体细胞胚胎发生与植株再生方法,一种杂交鹅掌楸无性系营养体悬浮细胞系诱导体细胞胚胎发生和植株再生的方法，采用母树不同部位的芽、茎尖、叶、花器官及新枝为体细胞胚胎发生诱导材料，经历愈伤组织诱导，悬浮细胞系建立和增殖，悬浮细胞胚胎发育诱导，胚胎发育成熟、体胚萌发和植株再生阶段获得幼苗。本方法突破了无法直接用杂交鹅掌楸成年树营养体诱导体细胞胚胎发生和植株再生技术的难关，为工厂化育苗提供了一种周期短、繁殖率高、成本低廉的新方法。
选育不同生态条件育性稳定的滇Ⅰ型粳稻不育系的方法,本发明涉及一种选育不同生态条件育性稳定的滇I型粳稻不育系的方法，属于农业领域。本发明的技术方案为保持现有不育系选育方法与常规方法相同，不同生态条件异地同季播种栽插不育系材料，采用温凉地区海拔1800～1900米和温热地区海拔1200～1300米的地域异地同季播种栽插；不育系开花前，每份材料各套6袋考察自交结实；不育系开花期间，对每份不育系材料进行花粉镜检，分析染败花粉变化情况；根据自交结实的有无和染败花粉的变化进行选择。本发明的有益效果是充分保证了不育系材料的特征特性，利用云南的立体气候条件，选育出育性稳定、生态适应性强的滇I型粳稻不育系，提高了滇I型粳稻不育系的选择效率。
铁皮石斛种苗高效繁殖方法,本发明涉及一种铁皮石斛种苗的繁殖方法，其特征是将生长健壮的铁皮石斛(Dendrobiumofficinale?Kimura?et?Migo)母株人工授粉得到的果实消毒杀菌后切开，用种子萌发培养基培养，使种子萌发成原球茎并进一步形成小苗，再将试管繁殖来的小苗用试管开花培养基培养，开花后选择生长健壮的植株进行试管内人工授粉，果实成熟后切开进行无菌播种，使种子长成小植株，小植株在壮苗培养基上培养，形成成苗，将成苗在自然光下炼苗，进一步栽培成种苗。本发明操作简单，成本低廉，能大大地缩短铁皮石斛果实的成熟期，高效且无病虫害，能周年生产铁皮石斛种子，成苗的移栽成活率可达95％以上，为铁皮石斛种苗的繁殖开辟了一条新的途径。
半夏人工种茎的生产方法,本发明属于植物组织培养技术领域，具体涉及半夏人工种茎生产方法。该方法包括半夏外植体的选择与消毒，胚状体的诱导与增殖，诱导人工种茎的形成、生长与成熟等步骤。本发明提出了半夏从野生植株到人工种茎生产的相应程序，不同阶段所需要专用培养基等关键技术，能规模化培育生产出成熟的半夏人工种茎，其萌发率可达90％。本发明克服了自然条件下半夏有性繁殖系数低、繁殖周期长、品质易退化、组培苗移栽程序麻烦、离体块茎不成熟难萌发等缺点，为工厂化快速生产半夏人工种茎提供了实用技术，可缓解市场种源的紧缺现状。
一种铁皮石斛无菌苗的无激素培养及快速繁殖方法,本发明属于生物技术领域，涉及一种铁皮石斛无菌苗的无激素培养及快速繁殖方法，内容包括铁皮石斛种子的无菌萌发，原球茎及幼苗的形成与保存，无菌苗的生根、增殖和壮苗培养，无菌苗的练苗和移栽。该项技术操作简便，占用空间小，生产成本低，便于大规模工业化生产应用。利用该项技术繁殖铁皮石斛，有利于保持种苗的优良性状，提高种苗使用的安全性。
重金属超积累植物东南景天种苗的繁殖方法,本发明涉及重金属超积累植物东南景天种苗繁殖方法。该方法通过取重金属超积累植物东南景天的茎段、茎尖或叶片进行培养繁殖，不仅取材范围宽，而且培养繁殖中每个环节易于操作，并能够实施监控，移栽成活率高，繁殖方法快速，高效，为大面积地修复重金属污染土壤提供了条件。
一种新的鸢尾杂交育种方法,本发明涉及一种新的鸢尾杂交育种方法。该方法包括如下步骤：开花前一天下午去除垂瓣，测定开花期中具有花粉生活力和柱头可授性后，人工授粉验证试验的结果。本发明所述杂交育种方法不使用套装，可以节约人工和加快育种进程，结实率大大提高。
一种甘蔗脱毒组培快繁的方法,本发明涉及一种甘蔗脱毒组培快繁的方法，属植物繁殖技术领域。包括如下步骤：取甘蔗的顶芽或腋芽为外植体，经愈伤组织诱导培养、植株分化培养、增殖培养、生根培养、病毒检测后，大量繁殖脱毒组培苗。本发明的优点是：采用的外植体体积较大，操作容易；接种成活率高；脱毒简便、快捷、彻底；月繁殖系数达5～10倍，速度快，适合工厂化育苗，可商品化生产。
桫椤的一种繁殖方法,本发明公开了桫椤的一种繁殖方法。本发明涉及植物的繁殖方法，特别涉及桫椤(Alsophila?spinulosa(Wall.ex?Hook.)Tryon)的一种繁殖方法。本发明所提供的桫椤的繁殖方法，是将桫椤的孢子灭菌后接种在MS培养基上进行培养，再经移栽管理，最终获得孢子体苗。本发明方法用少量的孢子材料即可快速繁育出大量孢子体，70天左右即可成苗，定植成活率可达80％以上。本发明方法弥补了现有桫椤繁殖技术培育周期长、成本高和效率低的不足，开辟了一条人工快速繁殖桫椤的新途径，使桫椤的规模化工业生产成为可能，从而满足市场对桫椤的需求，同时可减少对其野生资源和环境的破坏。此外，本发明还为开展该物种遗传育种和保护生物学等方面的研究提供了良好的试验体系，具有广泛的应用前景。
淡水芦苇非愈伤组织培养方法,本发明属于植物组织培养技术领域。运用芦苇的茎段，建立一种通过非愈伤组织培养的快速离体繁殖方法，获得完整优质芦苇植株。其过程简单、繁殖周期短，并且诱导率高达92.3％，移栽成活率也很高，达90.2％。通过此方法能够快速提供优质芦苇种苗，满足日益高涨的市场需要，发挥其在生态环境建设、水环境综合治理和湿地恢复工程方面的作用。
一种丝瓜品种的杂交育种方法,本发明公开了一种丝瓜品种的杂交育种方法，以湖南地方品种“长沙白皮丝瓜”为原始资源，根据“果皮皮色白”为育种目标，经6代自交选育出自交系A，自交系A果实圆筒形，果皮和果肉白色，肉质细嫩；以重庆地方品种“合川伏皱丝瓜”为原始资源，根据“果皮嫩绿有皱纹”为育种目标，经7代自交选育出自交系B，自交系B果皮绿色，果皮表面皱纹多而密，果肉绿白色，肉质致密细嫩；以长沙白皮丝瓜自交系A为父本或母本，以合川伏皱丝瓜自交系B为母本或父本进行杂交，得杂交一代“美玉1号”和“美玉2号”。本发明选育出的丝瓜新品种果皮白色皱皮，口感清香，丰富了现有丝瓜品种，以满足消费者多元化需求。
一种快速繁殖大象大蒜的方法,本发明提供一种快速繁殖大象大蒜(Allium?ampeloprasum?var.ampeloprasum)的方法，本发明采用不定芽增殖法快繁大象大蒜，利用顶端分生组织得到无菌苗，再利用无菌苗的基部得到的大量增殖不定芽；本发明避免了组培过程中脱分化、再分化引起的组培苗玻璃化现象，极大地提高了繁殖系数。本发明包括外植体的消毒、无菌苗诱导、不定芽诱导和继代增殖、不定芽生根、组培苗移栽的操作步骤。本发明以MS基本培养基为基础，添加不同比例的植物激素(α-萘乙酸NAA、吲哚丁酸IBA、6-苄基腺嘌呤6-BA、激动素KT、赤霉素GA)，通过不同的组合，在适宜的不定芽诱导和增值培养基、生根培养基上快速繁殖出新植株。本发明操作简便，成本低廉，应用价值高。
棉花优质棕色纤维新品种的选育方法,本发明提供了一种优质、大铃、高产棕色彩色棉(棕色纤维)的选育方法，本发明以半野生棉为基础材料，选育出综合性状较好的棕色彩色棉品系棕1-52(棕絮1号改良系)，以棕1-52为父本，与纤维品质优异、大铃的白色棉种质S9108进行杂交，通过多年单株系统选择，选育出一系列优质棕色彩色棉新品系，包括S9B12、S9B11等。利用本发明方法选育的棕色彩色棉，不仅提高了棕色彩色棉的纤维品质，同时衣分、单铃重、皮棉产量也大幅度提升，解决了目前棕色彩色棉纤维品质差、皮棉产量低的问题。
丫蕊花组培及种植方法,本发明提供用丫蕊花的母体组织叶为外植体材料，进行组织离体培养和无公害种植物的方法，采用本方法可获得大批组培苗，满足种植需要。采用天然林区种植克服了农药及重金属污染，成活率达95.5％，三年内可提供新药材，单株重量高于同年野生和无繁种植药材2倍，并且缩宫止血有效成分含量高于同年野生药材，满足制药企业对原药材的需求。既可成批培育又可大面积种植组培苗，并且提早二年获得无公害药材，具有推广的实用价值。
一种人工老化筛选耐储藏作物种质的方法,本发明公开了一种人工老化筛选耐储藏作物种质的方法，是将将种植栽培、收获条件一致，成熟度一致的对照品种子和待筛选的作物种子水分平衡至同一含水量，检测其发芽率；然后将对照品种子和待筛选的作物种质先后放到同一高温高湿的人工老化条件下人工老化；在检测对照品种子发芽率达到设定目标后，在达到对照品种老化时间后将待筛选作物种质从高温高湿的老化条件下取出；将取出的待筛选作物种质，浸种催芽，对正常出苗的植株进行加代扩繁，成熟后按单株收获，继续进行新的一轮筛选。本发明人工老化条件接近自然老化的外界条件，发芽结果与自然老化的发芽特征类似，可以大量从现有种质资源中筛选耐储藏作物种质，为研究种子衰老、陈化变质机理和遗传提供技术和方法，成本低廉。
杂种玉米植物和种子,本发明公开了杂种玉米植物和种子。本发明提供了称作PP59302的杂种玉蜀黍植物。本发明还提供了PP59302的杂种种子、从这种种子产生的杂种植物，和杂种PP59302的变种、突变体和微小修饰，以及使用该杂种的方法和从该杂种生产的产品。
一种瓶子草无菌播种和组培快繁方法,本发明属植物繁殖技术领域，主要是一种瓶子草无菌播种和组培快繁方法，包括如下步骤：种子采集、无菌播种、丛生芽增殖培养、壮苗培养、生根培养、移栽。基本培养基为：选用1/6MS～1/3MS培养基，附加蔗糖或白糖20～30g/L，琼脂7～9g/L，pH5.4～5.6。本发明的优点是：快速建立无菌组培快繁体系，繁殖速度快，组培苗健壮均匀，移栽成活率高，在短期内形成大量的优良组培苗，进行规模化、生产化生产。
青蒿多倍体诱导及其栽培方法,一种青蒿多倍体诱导栽培方法，其主要步骤是将高青蒿素含量的青蒿幼嫩叶作为外植体，经常规杀菌处理后，用无菌滤纸吸干表面水，然后用培养基对外植体愈伤组织进行诱导，将诱导出的愈伤组织进行用秋水仙碱进行多倍体的诱变，诱变后进行分化培养，进行多倍体的鉴定，对多倍体植时进行生根培养。本发明克服了自然状态下青蒿素普遍含量低，且不稳定，受地理环境采集时期，采集部位、气温和施肥等因素的影响，品质不易控制境等因素的限制，可以培育出含量高且稳定的新品种，可以提高青蒿素含量及加快生活周期。
杉木无性系的组织培养增殖方法,本发明公开一种杉木优良无性系的组织培养增殖方法，将诱导培养出的杉木嫩芽接入增殖培养基上，增殖培养基为：MS1～1/2、6-BA0.5～1.0mg/L、NAA?0.2mg/L，培养条件为：温度23±2℃、光照强度控制在1600～2200Lx。本发明改进现有的增殖技术，缩短增殖周期，增殖周期为35～45天，提高增殖倍率为2.4～2.8倍，成活率高，使得杉木的育苗成本降低、生产效率提高，可以获得最大的经济效益，并与其它相关技术结合，完全可以满足杉木产业化生产的要求，即可实现杉木产业化生产。
香料植物互叶白千层的组织培养方法,本发明公开一种香料植物互叶白千层的组织培养方法，从母体上剪取腋芽作为外植体，先进行清洗、消毒；然后进行诱导培养，诱导培养基：7/10MS-MS、6-BA0.1-0.3mg/L、NAA0.1-0.3mg/L；再进行继代培养，继代培养基为：7/10MS-MS、6-BA0.4-0.6mg/L、NAA0.05-0.15mg/L；最后进入生根培养阶段，生根培养基为：2/5MS-3/5MS、IBA0.5-0.7mg/L；以上诱导培养、继代培养、生根培养的条件均为：光照强度为2500-3000Lux，温度为26±1℃。此方法能实现工业化规模化快速繁育，30天增殖倍率达4.6倍，生根率接近100％，移栽成活率96％以上，为大面积推广种植互叶白千层解决了苗木需求问题。
速生团花的组织培养育苗方法,本发明公开速生团花的组织培养育苗方法，选萌芽条做外植体，经消毒清洗，进入诱导培养，培养基1/2MS、6-BA0.8-1.0mg/L、NAA0.2-0.3mg/L，光照强度1000±500Lux；再进入继代培养，培养基MS、6-BA0.3-0.5mg/L、NAA0.1-0.2mg/L，光照强度2500～3000Lux；再进入生根培养，培养基MS、NAA0.1-0.3mg/L，光照强度2500～3500Lux；瓶苗生根培养约25天，待苗高3-4CM，根长0.5-1.0CM时移栽到体积比2∶3的蛭石和泥炭混合基质上。本发明出圃周期120天，成活率96％以上，生产成本低，可实现工业化规模快速繁育。
南京椴组织培养繁殖方法,本发明为南京椴(Tilia miquelianaMaxim)组织培养繁殖方法，属于木本植物种苗无性繁殖的技术领域。本发明旨在解决南京椴在种子育苗(种子发芽率低、休眠期长)和扦插繁殖都十分困难的情况下的育苗难题。本发明以不同年龄椴的带腋芽茎段为外植体分别接于诱导培养基上，根据芽诱导结果选择最佳外植体；以不同的消毒方法比较污染率选择最佳消毒方法；以L9(3 3)正交试验设计分别筛选最佳芽诱导、继代增值培养基；以继代培养基为基础调整激素水平设计12种培养基，根据生根情况筛选最佳生根壮苗培养基。通过以上实验，优化得到最佳南京椴组织培养繁殖方法。
离体快速繁殖地乌的方法,本发明属于植物组织培养技术领域，具体涉及一种离体快速繁殖地乌的方法。该方法包括地乌外植体的选择与消毒，不定芽的诱导与增殖，拟球茎诱导与增殖、胚性愈伤组织的诱导、增殖、分化及生根等完整步骤。本发明提出了地乌外植体无菌消毒培养体系、培养程序及专用培养基等多项关键技术，成功地培育出地乌试管苗。本发明克服了自然条件下地乌繁殖周期长、繁殖系数低等缺点，为工厂化快速繁殖地乌试管苗提供了实用技术。
一种种子处理装置及种子处理方法,一种种子处理装置及种子处理方法。种子处理装置包括一微波发生器1，一变换器2和一种子处理腔4。所述微波发生器1可产生频率为数百MHz至数GHz、功率为数百W至数十kW的微波，所述变换器2由数层到数十层非铁磁性金属导电网组成，所述处理腔4为一外壳由铁磁材料制成的封闭腔体，在该腔体内设有可旋转或移动的置物盘3。种子处理方法为：(1)将待处理种子置于置物盘3上；(2)开启微波发生器1，对置物盘3上的种子进行1次或多次粒子流辐照处理。本发明的装置结构简单，成本低廉，使用方便，处理能力强；无辐射污染，无需特别防护。种子处理后，能提高作物发芽率与产量，增强防倒伏能力。
一种紫红色大白菜的选育方法,本发明涉及一种紫红色大白菜的选育方法。本发明以紫红色芥菜为母本，以大白菜为父本，通过远缘杂交获得表现为紫红色的F1代植株；以大白菜为回交父本对杂种植株进行回交；通过多代回交，选择综合性状接近大白菜，植株颜色为紫红色植株进行自交，获得遗传稳定的田间表现为紫红色的大白菜材料。通过上述选育方法，根据所选择的大白菜父本的遗传性状，可得到不同抱合类型：舒心、直筒、叠抱、合抱等，以及不同生育期的紫红色大白菜材料，大大丰富了大白菜的品种，为大白菜的品质育种，生产高品质、高营养价值的新材料提供了方向。
棉花核雄性不育系芽黄A光温互作繁种方法,本发明公开了一种棉花核雄性不育系芽黄A光温互作繁种方法为：将核雄性不育系芽黄A控制在29.5～30.5℃和光照12～13小时情况下，进行自然自交繁种，收集所得到的种子。本发明优点：1、用不育株率100％、不育度99％的不育系在整个有效期内，用昆虫传粉大批量配制一代杂交种，省工、高产、纯度高、成本低，普及大田生产用一代杂交棉，全面提高棉花的单位面积产量；2、还可在满足需要的前提下可适当减少棉田面积，改种粮食；3、新选育的优良的不育株不育系用本方法繁种，可加速稳定，加速繁殖，尽早发挥效益。
西伯利亚百合脱毒试管苗鳞片高效再生鳞茎方法,一种西伯利亚百合脱毒试管苗鳞片高效再生鳞茎方法，其特征是选取1～1.5cm直径的试管鳞茎，剥取外侧1～3层鳞片，在无菌条件下用锋利的刀具将鳞片纵向切为厚度1～2mm的薄片，接种于诱导培养基上诱导不定芽的发生。当不定芽长到2～3cm高时再转入养鳞茎培养基培养，当鳞茎直径达到1.5～2.0cm时，分别进行冷库培养、常温炼苗后即可移栽入珍珠岩和草炭土基质中进行常规育苗。
利用电子束辐射结合组织培养培育地被菊新品种的方法,本发明提供了一种利用电子束辐射结合组织培养培育地被菊新品种的方法，其包括如下步骤：取地被菊的花瓣、花蕾进行剂量20～30?Gy电子束辐射，辐射后的花瓣、花蕾切割作为外植体；然后在诱导培养基上诱导愈伤组织，愈伤产生芽点后转移到芽分化培养基上增殖，再在生根培养基中诱导生根，最后将试管苗移栽；最后采用营养期，花期综合评价筛选新品种。可为地被菊育种创造了优异材料，并从中选育出新品种，其变异率可为5～7％。
海仙报春的组培快繁方法,本发明提供了一种海仙报春的组培快繁方法，包括外植体选择、表面消毒、不定芽诱导、继代培养、生根培养与试管苗移栽。本发明的海仙报春(Primula?poisonii)组培快繁方法，一个腋芽可诱导产生40～50个左右的新芽，经过继代30～40天左右增殖系数为3～4，生根率可达到95％以上，移栽成活率几乎为100％，实现了通过快繁技术对优良海仙报春(Primula?poisonii)单株的保存，同时大大提高了海仙报春的育苗生产能力，缩短成苗时间又可降低成本，为报春花的大面积推广应用提供了技术支持。
滇北球花报春的组培快繁方法,本发明提供了一种滇北球花报春的组培快繁方法，包括外植体选择、表面消毒、不定芽诱导、继代培养、生根培养与试管苗移栽。本发明的滇北球花报春(Primula?denticulata?ssp.sino-denticulata)组培快繁方法，一个腋芽可诱导产生40～50个左右的新芽，经过继代30～40天左右增殖系数为3～4，生根率可达到95％以上，移栽成活率几乎为100％，实现了通过快繁技术对优良滇北球花报春(Primuladenticulata?ssp.sino-denticulata)单株的保存，同时大大提高了滇北球花报春的育苗生产能力，缩短成苗时间又可降低成本，为报春花的大面积推广应用提供了技术支持。
外植体的表面灭菌方法,一种外植体的表面灭菌方法，属于植物组织培养技术领域，包括外植体的清洗、消毒剂溶液浸泡杀菌、无菌水冲洗三个步骤，其特征在于采来的外植体除去不用的部分之后，直接用浓度为70-75％的酒精溶液清洗而不用自来水，清洗后再放入可用于外植体灭菌的消毒剂溶液中浸泡杀菌。在本发明所述的技术方案中，清洗与灭菌工作同步开展，这样可以避免自来水中或是外植体上冲洗下来的微生物沿着外植体的毛细管进入植物气管内部，大大降低植物组织培养的污染率。
增强的授粉者和增加无籽西瓜产量的方法,本发明公开了用于使得每英亩三倍体无籽西瓜产量达到最大的增强的二倍体授粉者西瓜植物和方法。本发明增强的授粉者西瓜植物是杂种品种，自由授粉品种或综合品种，它们显示了小叶和具有脆果皮果实的特征，当该果实过熟时其裂开，或者当给该果实施加相对小的物理力时其破裂。优选地，本发明的西瓜植物特征在于延长了开花期间，因此增加了被授粉的三倍体西瓜花和座果的数量。一种生产无籽西瓜果实的方法，包括步骤：提供授粉者二倍体西瓜植物，延长授粉者植物的开花期，同时减少了给相同数量三倍体西瓜植物授粉所需的这种植物数量，并且在整个三倍体西瓜植物的田地中使得授粉者西瓜植物的分散达到最大。
西洋杜鹃组培快速繁殖及试管开花的方法及所用的培养基,本发明公开了一种西洋杜鹃组培快速繁殖及试管开花的方法及所用的培养基，特征是，采用嫩茎尖和茎段形成丛生芽的快速繁殖方法，在快速繁殖的基础上对其试管苗进行花芽诱导，它包括外植体的准备、无菌培养系的建立与增殖、试管苗的壮苗和生根培养和试管苗开花诱导等几个步骤。本发明具有培养周期短、分枝生长好、不受季节影响的特点。通常西鹃需3个月左右产花，本发明的试管苗只需2个月即可开花。
离体培养和秋水仙素处理结合选育多倍体毛泡桐的方法,本发明提出了以胎座为外植体的离体培养和秋水仙素处理结合选育四倍体毛泡桐的方法。它包括：a.选择亲本；b.以胎座为最佳外植体；c.胎座愈伤组织诱导；d.胎座愈伤组织加倍处理；e.处理后愈伤组织恢复培养；f.愈伤组织分化培养；g.芽苗生根培养；h.组培苗的移栽；i.毛泡桐植株多倍性的形态学鉴定；j.毛泡桐植株多倍性的染色体数鉴定；k.毛泡桐植株多倍性的流式细胞仪分析鉴定；l.开花期毛泡桐植株多倍性鉴定等十二个步骤。与其他多倍体毛泡桐的成年植株比较，四倍体毛泡桐具有花大、叶厚、不结实等与二倍体毛泡桐明显不同的特点，具有很好的观赏价值和生长优势。该技术不仅可直接应用于选育毛泡桐新品种，也为其它树木多倍体育种打下良好的基础。
一种高效诱导赤松(Pinus densiflora)组培苗不定根发生的方法,本发明公开了一种高效诱导赤松组培苗不定根发生的方法。该方法以生长幼嫩的赤松组培苗为外植体，采用“两步法”，即先在1/2～1/4WPM+NAA0.1～0.2mg/L+IBA1.0～2.0mg/L+蔗糖0.5～1.5％培养基中诱导不定根原基发生，进而将外植体转入1/2WPM+AC0.5～1.0g/L+蔗糖2.0％培养基中促进不定根表达与伸长，从而完成不定根发生过程。采用本发明，赤松组培苗不定根发生率高，且根系发育良好，移栽成活率高，为大量生产抗松材线虫病赤松组培再生植株奠定了坚实的基础，同时对其他松属树种组培苗的培养也具有重要参考价值。
一种山药离体繁殖方法,本发明公开了一种山药离体繁殖方法，本发明的目的是提供一种遗传稳定性好、繁殖占用空间小、保存和运输方便的怀山药离体繁殖方法。本发明的技术解决方案要点有以下步骤：(1)怀山药类原球茎的诱导形成；(2)怀山药类原球茎的增殖；(3)怀山药类原球茎的分化；(4)怀山药类原球茎再生植株的生根；(5)怀山药类原球茎再生植株的炼苗移栽。本发明用于山药繁殖。
一种低植酸玉米品种的育种方法,本发明公开了一种低植酸玉米品种的育种方法，属于作物育种方法领域。本发明主要是利用筛选得到的农艺性状好且植酸含量低的玉米自交系齐319，通过回交、杂交或者组织培养方法选育低植酸自交系，再用所培育的低植酸自交系组配成低植酸杂交种。应用本发明方法可以培育出农艺性状和品质性状好的低植酸玉米品种，因此能在生产上推广应用；以本发明方法培育的低植酸玉米作为饲料可免除添加植酸酶和磷酸二氢钙，提高了动物对饲料中铁、钙、锌的吸收利用率，减少了环境中磷的富集化所造成的污染为题；推广这种玉米杂交种，还可以提高土壤中磷肥的利用率，有利于农业的可持续发展。
无刺红花的组织培养和快速繁殖方法,本发明涉及无刺红花的组织培养和快速繁殖方法，提供了种子的消毒处理方法、最佳的芽增殖培养基和诱导芽生根培养基。通过获得无菌苗、芽的增殖、诱导芽生根和练苗与移栽四个步骤，在短时间里获得大量该红花的种苗。本发明具有方法简单，繁殖速率快，稳定性强，培育周期短，生根率高，易成活的优点，在实际生产应用中具有较强的可行性，适用于新疆红花的产业化栽培，也为裕民无刺红花多倍体新品种研究奠定了基础。
一种重金属超积累植物东南景天种苗的繁殖方法,本发明涉及重金属超积累植物东南景天种苗繁殖方法。该方法通过取重金属超积累植物东南景天的茎段、茎尖或叶片进行培养繁殖，不仅取材范围宽，而且培养繁殖中每个环节易于操作，并能够实施监控，移栽成活率高，繁殖方法快速，高效，为大面积地修复重金属污染土壤提供了条件。
一种北京杨组织培养方法,本发明公开了一种北京杨组织培养方法，其特征在于：包括如下步骤：①取材及初代芽诱导分化培养：②丛生芽抽茎培养；③壮苗培养；④增殖培养；⑤生根培养：⑥炼苗移栽。本发明对北京杨离体培养，具有繁殖率高的优点。
