名称,摘要
一种咸水灌溉土壤表层积盐和降雨盐害的覆膜防治方法,本发明涉及一种咸水灌溉土壤表层积盐和降雨盐害的覆膜防治方法，采用该方法将林地表面处理成垄沟状(植物行间为垄，植物行为沟)，按照植物行间垄沟地表的宽度，将地膜拆成条带状，覆盖在林地表面，在地膜上以一定间距打通气孔，再在地膜上覆盖薄层土壤以镇压地膜。植物行两端和中部用土拦坝，防止降水流走。该方法不仅能够有效降低咸水灌溉土壤表层积盐强度，防止降雨植物盐害发生，而且还能极大降低土壤水分蒸发损失，保存土壤水分，还能有效利用荒漠稀少降雨资源，补充土壤水分，淋洗植物根系层盐分。该方法操作简便，节约水资源，功效长，可广泛应用于干旱、半干旱区生态建设中，尤其适用于较高矿化度水灌溉林地。
多功能刨锄及其制备方法,本发明涉及多功能刨锄，该多功能刨锄由把手杆(1)、刨锄头(2)、螺钉(3)、弹簧垫圈(4)、螺母(5)、锄刀片(6)、把手杆护套(7)和锯或砍刀组件(8)构成，在把手杆(1)的一端连接刨锄头(2)，刨锄头(2)由固定座(2d)、弧形叉头(2a)和锄刀片(6)构成，由两组或两组以上的螺钉(3)、弹簧垫圈(4)和螺母(5)将把手杆(1)和刨锄头(2)连接固定在一起，在把手杆(1)的另一端设有锯或砍刀组件(8)和把手杆护套(7)；本发明还涉及多功能刨锄的制备方法和使用用途；本发明使用方便，不仅省工省力，不损害植物的根系，可以修锯果树残枝；本发明可广泛地用于国防、铁路、公路、建筑、市政、采矿业、农林牧副渔业等疏松、挖掘、铲除、构筑等作业或施工，特别是果园松土、施肥、用药和修锯果树残枝等，值得大力推广应用。
园林工具,本发明公开了一种园林工具，现有一体式结构的园林工具制造成本高、存放时会占用较大位置，本发明包括手柄和头部，所述的头部具有向后延伸的工具杆，其特征是：所述的手柄上开设安装孔，所述的工具杆插装在所述的安装孔内且工具杆与安装孔配合禁止工具杆转动，在手柄上设有锁止组件，所述的工具杆插入所述安装孔内的部位设有由所述的锁止组件锁止和解锁的锁止部。本发明通过在手柄上开设安装孔，将头部的工具杆插装在安装孔内禁止工具杆转动，在手柄和工具杆上分别设置锁止组件和锁止部，由锁止组件与锁止部配合来锁止和解锁，由此实现头部与手柄分体设置并实现二者的快拆快装；可以为多个头部配置一个手柄，降低制造成本，减小存放占用的位置。
秸秆全量还田的方法,以每收获十季作物为一个周期，每季作物收获时，都在农田中以固定的作业幅宽在固定的收割作业区纵向收割，作物收割与脱粒的同时在当次收割作业区挖一条宽为作业幅宽的十分之一、深为25-30厘米的沟，挖沟的同时一边将脱粒后的全部秸秆填入沟中并镇压，一边将挖出的土覆盖在沟中的秸秆上，当季所挖相邻沟中心的间距均与作业幅宽相同，第一季收获时，每次都将沟挖在当次收割作业区的边缘，第二至第五季与第七至第十季收获时，每次都在上季同一收割作业区所挖沟处按同一方向平移作业幅宽的十分之一挖沟，第六季收获时每次都紧贴第一季所挖沟处挖沟，下一周期重复此操作。本发明提供的方法可以全量还田秸秆，改良土壤，且适于机械化标准化作业。
一种盐碱地改良方法,本发明涉及一种盐碱地改良方法，特别是涉及一种重黏质壤土盐碱地的改良方法。其方法是：筑台田，形成台田与浅池相间分布的格局；将台田1修整为向两侧倾斜的坡面，台田垂直结构由下向上分为底部隔水层、底部排水管，上部隔水层和土埂，把粉碎的秸秆和发酵好的牛粪施入上述台田表面，深耕，并将台田耙平；将海冰或浅池中的咸水冰，堆放在台田表面，然后在冰堆表面覆盖无纺布或作物秸秆，并固定覆盖物在台田表面。本发明具有高脱盐率、提高土壤肥力、抗旱保墒的特点。
微型耕耘机防误操作装置,本发明请求保护一种微型耕耘机防误操作装置，包括操作手柄、手柄摇杆、手柄座、扳机和扭簧等。其中操作手柄的前端装配在手柄座上，手柄摇杆一端与操作手柄的中部可转动连接，另一端与手柄座可转动连接。扳机的上端操作部分具有一阶梯部，下端与摇杆连接，而操作手柄在靠前中间部位开有腰形槽，扳机的上端操作部分穿过操作手柄的腰形槽，并能在其中被前后扳动。扭簧的中间圆孔部穿在圆柱销上，一端压住扳机，使扳机一直朝前或朝后让上端操作部分的阶梯部正好顶在操作手柄的腰形槽的前端或后端。本发明是通过扳机的阶梯部顶住操作手柄前部腰形槽部，从而顶住操作手柄，使操作手柄无法朝下压下而防止误操作，该结构简单可靠，操作省力。
一种水田激光平地机,本发明公开了一种水田激光平地机，包括动力装置及与其相连接的平地铲，还包括用于控制平地铲高度位置的高度调节液压系统及用于控制高度调节液压系统工作的高度控制系统，该高度控制系统通过激光信号的对位来判断平地铲的高度，并通过控制高度调节液压系统来调节平地铲的高度，另外，还包括用于控制平地铲水平位置的水平调节液压系统及用于控制水平调节液压系统工作的水平控制系统，该水平控制系统通过传感信号感应平地铲的水平位置，并通过控制水平调节液压系统调节平地铲的水平位置。该水田激光平地机平地效率高、精度高、结构紧凑且性能可靠。
步行式水田作业机,一种步行式水田作业机，除了机身沿着犁底层的较小凹凸向左、右频繁地较小倾斜的状态之外，对于机身沿着犁底层的较大凹凸向左、右较大倾斜的状态，也能够适当地进行应对。该步行式水田作业机具有：行驶用的左、右车轮；强制地对左、右车轮相对于机身的高度赋予差值的横摆机构(26)；操作所述横摆机构(26)动作以使机身与田面平行的横摆操作单元(31)。在所述横摆机构(26)和左、右车轮之间具有允许左、右车轮升降的熔融贯通部(20)，该步行式水田作业机具有施力机构(29)，该施力机构朝着消除左、右车轮相对于机身的高度的差的方向对左、右车轮施力。
田间膜片扎收清理机,本发明涉及农用薄膜残膜回收装置技术领域，是一种田间膜片扎收清理机，其包括机架、主轴、钉盘体、滚筒和钉齿，主轴安装在机架上并能够转动，主轴上固定安装有不少于一个的钉盘体，钉盘体外部安装有与钉盘体同步转动并能够调整与钉盘体相对转角的滚筒，每个钉盘体靠近边缘处间隔安装有不少于两个的钉齿，滚筒上对应钉齿的位置有齿孔，钉齿的内端铰接在钉盘体上，钉齿的外端通过齿孔伸出至滚筒外部并能够通过调整滚筒与钉盘体的相对转角而收回。本发明结构合理而紧凑，使用方便，其通过调整滚筒相对钉盘体的转角能够使钉齿伸出进行工作，再通过旋转钉盘体使钉齿收回将残膜除去，具有安全、省力、简便、高效的特点。
耕作装置,本发明提供一种耕作装置，其以实现耕作装置自身的小型化、轻量化和紧凑化为课题。该耕作装置包括支承部、可自由转动地支承在该支承部上的耕作机轴部、及旋转驱动该耕作机轴部的旋转驱动部，其中，耕作机轴部，在设置于支承部上的左右一对支承片上分别安装左右一对的转动支轴，将形成为中空的耕作机轴以绕其轴线转动自如的方式横架在两转动支轴之间，在该耕作机轴内配设旋转驱动部，并且，该旋转驱动部，将电动机固定在一方的转动支轴上，将减速机构设置在该电动机和另一方的转动支轴之间，并且减速机构与耕作机轴连动连接。
农用拖拉机,一种农用拖拉机，包括：机体，支承在包括右及左后轮的多个车轮上；旋转耕耘装置，以可沿上下方向移动的方式被支承在机体的后部；配置在旋转耕耘装置的横向右侧部和横向左侧部中的一方的第1接地体、和配置在旋转耕耘装置的横向右侧部和横向左侧部中的另一方的第2接地体，第1和第2接地体构成为，通过第1和第2接地体与田地的接触，设定旋转耕耘装置的耕耘深度；支承装置，支承第1接地体，使其能变为与田地接触的作用姿势、和从田地向上方离开的非作用姿势。
盐碱土地的改良和治理方法,盐碱土地的改良和治理方法，长期以来国内外对盐碱地的改良都开展了广泛而深入的研究，多偏重于工程措施，而少应用生物技术，虽然取得了一定成绩，但存在一些难以克服的困难。本发明包括全方位深松，向深松的土壤中施土壤深松剂和盐碱土改良剂，根据检测的土壤成分针对性的进行配方施微生物有机肥，采用养分平衡法和氮磷钾比例法，再通过高台起垄、排水控盐后通过种植绿肥---耐盐碱高产饲料作物菊芋，彻底改良土壤；所述的养分平衡法为：用目标产量的需肥量减土壤供肥量，所得差额部分通过施肥得到补充；所述的氮磷钾比例法为：通过田间试验，确定菊芋种植的最适用量，并计算出三者之间的比例。
气动式侧深施肥中耕机,本发明公开了一种气动式侧深施肥中耕机，包括气动装置、侧深施肥部件总成、中耕犁体总成、肥料箱总成、和机架，所述的气动装置包括气泵、储气筒和输气管；侧深施肥部件总成包括侧深施肥部件和侧深施肥部件中的孔道和排肥口；气泵与拖拉机的发动机相连接，输气管把气泵、储气筒和侧深施肥部件总成中的侧深施肥部件密闭连接。这种气动式侧深施肥中耕机，使用方便，可与大中小型施拉机配套；可靠性好，能充分有效地把肥料分层施入作物根部的适当深度的土壤内；结构简单，便于制造，中小企业均可生产制造并保证质量。
一种控制土壤磷素有效性的方法,目前控制土壤磷素的主要以减控磷肥投入为主，而对已经形成的富磷土壤的阻控技术还较为缺乏。本发明提供了一种控制土壤磷素有效性的方法，其包括以下步骤：1)将块状矾土磨碎，并过60目筛；2)将1)步得到的矾土用NaOH调节至pH为6.5-7.5，风干，并在阴凉通风处保存；3)将土壤表面0-20cm的富磷水稻土翻耕，风干、磨碎、过60目筛，备用，富磷水稻土中的有效磷＞30mg/kg，4)将2)步得到的矾土，撒于3)步处理过的水稻土，矾土施用量为水稻土质量的0.05-0.2％，翻耕，使其与水稻土充分混匀。本发明可固定25％以上的土壤有效磷，并能达到增加作物产量的效果。
一种耕作机,本发明公开了一种耕作方法及耕作机，耕作设备的行走装置横跨在田地的两边，沿着田地纵向行走，在耕作设备纵向行走的同时，耕作设备上的耕作装置沿着横跨在田地上的轨道做横向往复运动，耕作装置上的犁深入到泥土中，对田地进行翻挖。本发明以电力为动力，不但降低了使用燃油的成本而且不会对环境造成污染，本发明可以一机多用，既能够耕地还能够旋地和种地，有效的降低种地的成本，而且这种耕作机还具有操作简单、维修成本低和工作效率高的优点。
一种四轮拖拉机配套使用的深松机,本发明涉及一种农业机械，具体地说是涉及一种四轮拖拉机配套使用的深松机。本发明一种四轮拖拉机配套使用的深松机所述深松铲柄固定件焊接在到深松机大架后侧；所述整平辊子通过整平辊子连接件上端与深松机大架铰接连接；所述的深松铲箭头朝向开沟圆盘与深松铲柄下端焊接连接；所述开沟圆盘通过开沟圆盘轴和轴承座固定在深松机大架侧板上；所述的限深轮通过限深轮定位件固定安装在深松机大架前端。本发明实现了四轮拖拉机的深松作业，结构简单操作方便，提高了作业效率，降低深松铲柄及零部件的强度要求。特别是解决了草原深耕时普通深松机无法耕作的困难，达到保护性耕作要求。本发明一种四轮拖拉机配套使用的深松机适用于较硬土壤或草原深耕使用。
尤其用于牵引机三点杠杆机构下臂的耦合钩,本发明涉及一种耦合钩，尤其用于牵引机三点杠杆机构下臂的耦合钩，其用来把一器具借助于耦合球11附着到牵引机上。主体1，包括用于掣子机构的外壳25和布置成尤其接收所述耦合球11的耦合喉部27，以及在外壳25中旋转、用于将耦合球11锁定在耦合喉部27中的掣子2。在自由位置，掣子2可以旋转，从而容许将耦合球11从耦合喉部27升出来。掣子2由操作杆3操作。掣子2布置成使操作杆3返回至锁定位置，当耦合球11使之旋转时，它就从耦合喉部升出来。
一种气力式油菜精量联合直播机,本发明属于播种机技术领域，具体涉及一种气力式油菜精量联合直播机，包括机架、旋耕单元、排肥单元、地轮仿形装置、副机架、正负气压工作单元、正负气压组合式排种器、开沟单元和传动系统。本机结构简单、布局紧凑、功耗低，对土壤破坏小，重播和漏播率低，无种子破损；可实现旋耕、破茬、开沟、播种与施肥的联合作业。气力式精量播种节约种子，能大幅度减少油菜生长管理后期的间苗、定苗工作；联合作业大大提高生产效率。本机用于油菜籽精量联合直播，亦可用于其它球型小粒径种子的精量直播。
步行式电动管理机,本发明提供在切换耕耘作业和移动作业时，不必进行阻力杆和移动轮的装卸作业、也不必进行这些部件的安装姿势变更作业的、构造简单的步行式电动管理机。本发明的步行式电动管理机(1)，备有机身本体(50)和电动驱动型的耕耘轴部(4)，所述机身本体(50)具有上下方向延伸的支承架(5)；所述电动驱动型的耕耘轴部(4)支承在上述机身本体(50)的下方。还备有阻力杆(7)和移动轮(6)，所述阻力杆(7)在上述耕耘轴部的后方，支承在上述支承架上；所述移动轮(6)在上述耕耘轴部前方且以其旋转轴线位于上述耕耘轴部的旋转轴线上方的方式支承在上述机身本体上。
平原矿区厚煤层开采塌陷地动态预复垦方法,一种平原矿区厚煤层开采塌陷地动态预复垦方法，属采矿技术领域，用于解决未稳沉采煤塌陷区土地复垦问题。它是在采煤塌陷未完全、积水未形成时进行，它根据所要复垦的规模、范围及目标由工程设计计算和工程实施两个阶段组成，所述工程设计计算阶段包括计算预计下沉量、施工田块划分、确定施工参数等步骤。本发明方法与现有“先破坏后治理”技术相比，显示了如下优点：动态预复垦实现采矿与复垦的充分有效结合，可降低复垦投入，缩短复垦周期，增加复垦效益，并可促进矿区土地资源的可持续利用及矿区可持续发展的实现，能有效减缓矿区因采煤塌陷植被破坏、水土流失等造成的生态环境恶化，最大限度地保护土壤资源。
一种牵引臂的弯转装置,本发明公开的是一种机具的牵引臂弯转装置，通过在牵引臂杆上安装的一套弯转装置，其中弯转装置的弯转机构万向节组件可将牵引臂的弯转范围从目前牵引臂常用结构所能达到的0～90度提高到本发明可达到的0～160度左右。从而有效减小了方草捆压捆机等所牵引机具的转弯半径。避免了机器转弯带来的困难，节省了作业时间，提高了作业效率，减少了作业死角。并具有操作简单、使用方便、性能稳定、灵活机动和安全可靠的特点，可广泛应用于苜蓿等牧草和小麦、水稻秸秆的收集和打捆以及其他需要减小转弯半径的牵引机具。
土壤作业设备,在可移动的土壤作业设备的示例中，具有机器框架(38)，用于至少一个刺入工具(1)的驱动部，该刺入工具(1)可以升起和放下，其中所述刺入工具(1)可以用于刺入土壤(8)并可以再拔出，引导元件(30)，其可运动地引导在机器框架(38)上，用于至少一个刺入工具(1)，其中在刺入之前，该刺入工具(1)以预定刺入角度位于起始位置，用于该刺入工具(1)的工具保持器(2)，该保持器可绕着在该引导元件(30)中的第一枢转轴线(12)枢转，该引导元件(30)可以通过所述驱动部升起和放下，以使该刺入工具(1)可以在与土壤接合过程中，也即在力的作用下，相对于该引导元件(30)枢转，其中，设备施加回复力矩到工具保持器(2)上，绕着第一枢转轴线(12)作用，在该刺入工具(1)从土壤(8)中拔出之后，当力的作用不再发生时，刺入工具(1)从而再次枢转回到起始位置，假定工具保持器(2)和至少一个刺入工具(1)的整体重心相对于第一枢转轴线(1)这样设置，使得抵消所述回复力矩的该工具保持器(2)和刺入工具(1)的惯性力矩这样得到至少部分地减小或补偿或过度补偿，使得绕第一枢转轴线(12)作用的惯性力矩形成至少部分的回复力矩。
激光平地控制装置及方法,本发明公开了一种激光平地控制装置及其方法。所述装置包括牵引单元(20)，支撑轮(4)，以及平地铲(16)，还包括：激光发射器(1)，激光接收器(5)，用于承载所述激光接收器(5)的激光接收器升降单元(6)，用于控制激光接收器(5)和平地铲(16)的升降的控制器(15)。本发明克服了反复停车调整接收器高度导致平整作业效率低的缺点，解决了因负载过大损伤牵引车发动机或平地铲的问题，避免因平地铲支撑轮抬起过高后平地系统响应慢而引起的地块波浪起伏降低平地作业质量，实现高效精准的平地作业。
残膜捡拾机,本发明涉及农用薄膜残膜回收装置技术领域，是一种残膜捡拾机，其包括机架、主轴、捡拾轮和钉式捡拾器，主轴安装在机架上并能够转动，主轴上固定安装有不少于一个的捡拾轮，捡拾轮靠近边缘处间隔安装有不少于两个的钉式捡拾器，钉式捡拾器包括捡拾器壳体、钉齿和压缩弹簧，主轴后方的机架上固定安装有能够推动捡拾器壳体向捡拾轮外侧移动而使钉齿的齿尖完全缩回至捡拾器壳体内部的凸轮。本发明结构合理而紧凑，使用方便，其通过捡拾轮带动钉齿转动扎取残膜进行工作，通过凸轮推动捡拾器壳体相对钉齿移动能够除去钉齿上挂附的残膜，再通过清膜刷辊将残膜送入集膜箱，具有安全、省力、简便、高效的特点。
一种地震灾后塌陷耕地复垦方法,本发明涉及一种地震灾后塌陷耕地复垦方法，属于环境、生态和废弃地治理和利用技术领域，该方法包括：对地震引起的塌陷耕地进行表土剥离；对剥离后的塌陷区域进行填充和初步整形；对初步整形后塌陷区域进行隔离材料覆盖和碾压；对覆盖隔离材料后的塌陷区域覆土、进一步整形；对覆土整形后的塌陷区域进行生物改良工程。本发明可以使受地震破坏的耕地恢复利用并尽快达到较高水平生产水平，形成稳定的自维持的农田生态系统，提高土壤微生物含量，改良土壤的理化性质，形成良性农田生态系统循环。
手扶拖拉机配套使用的深松机,本发明涉及一种农业机械，具体地说是涉及一种与手扶拖拉机配套使用的深松机。一种手扶拖拉机配套使用的深松机所述的大架左侧板、大架右侧板、传动轴和大架横梁构成连接深松机部件的框架；所述的链轮箱通过链传动与开沟圆盘轴连接开沟圆盘固定在开沟圆盘轴上；所述的深松铲箭头端朝向开沟圆盘焊接固定件固定在大架横梁上对应在开沟圆盘的后方；所述整平辊子固定在深松机大架左侧板和大架右侧板上。本发明实现了手扶拖拉机的深松作业，结构简单操作方便，作业效率高，降低深松铲柄及零部件的强度要求。特别是解决了草原深耕时普通深松机无法耕作的困难，达到保护性耕作要求。本发明一种手扶拖拉机配套使用的深松机适用于较硬土壤或草原深耕使用。
一种具有仿生几何结构表面的玉米根茬脱土碾辊,本发明涉及农业机械中玉米根茬收获机上的脱土部件，特别是涉及一种用于玉米根茬收获机的仿生脱土碾辊表面结构，即一种具有仿生几何结构表面的玉米根茬脱土碾辊。其目的是解决根茬与土壤分离难的问题，使根茬受到挤压、揉搓、拉拽、筛分、冲击多种作用，破坏包裹的土体结构，实现根茬与土壤的分离。其特征包括：具有仿生几何结构表面设有指状凸起(1)，并呈螺旋形分布，带状碾辊板(6)、浮动碾辊装置(4)、可调轴承(2)依靠碾辊转速差相互作用；碾辊表面采用的仿生几何结构表面设计是参照人和动物挖掘、捡拾、清理过程的行为特征，设计玉米根茬脱土碾辊表面仿生几何结构及对被加工单元的作用方式。
包括改进拖挂装置的农业机具,本发明涉及一种农业机械，其包括底盘(1)、发动机、驾驶室(2)、拖挂装置(3)和由拖挂框架(6)连接到所述农业机械上的所述拖挂装置(3)上的至少两个工作单元(4、5)，所述至少两个工作单元(4、5)能够在工作位置和运输位置之间枢轴转动，在上述工作位置中，所述工作单元(4、5)基本上水平地及横交于工作中行进方向(A)地延伸，在上述运输位置中，所述工作单元(4、5)基本上在所述底盘(1)以上延伸。所述农业机械特征在于，拖挂装置(3)经由刚性结构(12)连接到所述底盘(1)上，刚性结构(12)自身通过横向铰接部(13)连接到所述底盘(1)上，至少一个致动器(14)设置在底盘(1)和所述刚性结构(12)之间，以便允许所述刚性结构(12)围绕横向铰接部(13)翻倒。
基于机器视觉的锄草机器人系统及方法,本发明公开了一种基于机器视觉的锄草机器人系统及方法，包括机器人移动平台，用于执行所述机器人系统在田间的行进动作；田间导航装置，用于获取所述机器人系统运动所需的导航参数，并将其发送给机器人控制系统；田间苗草识别装置，用于对田间苗草图像信息进行采集，根据田间苗草图像信息进行苗体识别，得到识别数据，及计算苗体坐标和苗间距，并将苗体坐标和苗间距数据发送给所述机器人控制系统；锄草装置，用于执行锄草动作；机器人控制系统，用于按照所接收的导航参数控制所述机器人移动平台执行在田间的行进动作，并根据苗体坐标和苗间距数据控制所述锄草装置执行锄草动作。本发明可实现对田间作物的快速、精确锄草作业。
小型播种机防堵器,本发明公开了一种小型播种机防堵器，由支架、连接架和防堵板装置组成，其特征是：支架包括一纵梁，纵梁的底端呈“T”形固定连接一横梁，在横梁上设置一轴座，螺钉轴支承在轴座上，在螺钉轴上设置有扭簧；连接架包括U形拉座，在U形拉座的前端固定设置一挡轴，U形拉座的两侧板活动套装在螺钉轴的两端；在U形拉座的中部固定设置有横板座，U形拉座的尾部通过纵板座固定悬置一中轴，中轴的两端分别套装压簧；防堵板装置包括一对呈“八”形设置的防堵板，防堵板的前端是以绕轴通过固定螺帽连接在横板座上；一对防堵板的尾部分别套装在中轴的两端。本发明结构简单、功率消耗小、防堵性能好，可确保开沟器的开沟播种质量。
利用造纸废弃物改良滨海盐碱湿地的方法,本发明公开了一种利用造纸废弃物改良滨海盐碱湿地的方法。该方法，包括如下步骤：将包含草末和污泥的造纸废弃物施入待改良的所述滨海盐碱湿地中，并与待改良的所述滨海盐碱湿地土壤混匀；所述造纸废弃物选自草末和污泥中的至少一种。上述方法中，所述草末造纸废弃物的施用量为不大于1500kg/亩；所述污泥造纸废弃物的施用量为不大于2000kg/亩；所述施入步骤中，施入所述待改良的所述滨海盐碱湿地的深度为20cm。该方法，可有效改善土壤结构，提高土壤中有效养分和有机质的含量，降低土壤的含盐量，促进湿地植被恢复。
一种盐碱地灌排生态改良方法,本发明涉及一种盐碱地灌排生态改良方法，包括组合网格状地下排水排盐系统和节水灌溉淋洗系统两部分；组合网格状地下排水排盐系统是在盐碱地土层下方设置由吸水管(支排水管)和盲沟组成的网格状排水排盐网络，将含盐地下水和淋洗下渗水通过盲沟→吸水管(支排水管)→集水管(主排水管)和吸水管→集水管两条途径排放到改良区域之外；节水灌溉淋洗系统是指采用分区灌溉、咸淡水轮灌、间歇性灌溉措施中的一种或者两种以上措施淋洗土壤盐分。采用本发明能均匀、高效改良盐碱土，节约水资源，缩短改良时间，有较好的社会、生态和经济效益。
免缠草秸秆还田旋耕机,本发明公开了一种免缠草秸秆还田旋耕机，包括固定在壳体上的齿轮箱、两侧的动力传动箱和支臂，动力传动箱和支臂下部支承着刀滚轴的两端，在动力传动箱和支臂内侧分别设置一个挡草板，旋耕刀旋转直径内的圆周上设置两个以上的挡草横条，作业时刀滚轴两端的秸秆杂草被挡草板挡住，作业幅宽中的秸秆杂草被挡草横条挡排掉，保持了刀滚轴转动轻松，节省了功耗，提高了功效，不要焚烧秸秆杂草就能旋耕作业充分利用了秸秆资源，达到了秸秆还田的需求。
用于农用深耕犁之类的可反向工具,用于农用深耕犁之类的可反向工具(6)，包括细长的板状本体(7)，在本体的相对端处形成对应的凿子(8a、8b)，用于工具的固定装置包括快速松开的连接器，用来将所述本体可反向地固定到深耕犁(1)的锚固件(3)的自由端(3a)上，以使所述凿子中的一个或另一个凿子处于工作位置。
促进滨海盐碱化湿地复壮的方法,本发明公开了一种促进滨海盐碱湿地复壮的方法。该方法，是对待复壮的滨海盐碱湿地进行深翻。上述方法的所述深翻步骤中，划犁深度为15-30厘米，优选25厘米犁距为50-80厘米，优选50厘米。在所述深翻步骤之后，还对所述滨海盐碱湿地浇灌造纸废水。所述造纸废水的COD值为200-800mg/L，优选600mg/L。所述浇灌步骤中，所述造纸废水的灌溉深度为5-30cm，优选30cm，浇灌的次数为每月1-4次，优选2次，每次见干。该方法适用于各种退化程度的滨海盐碱湿地，如轻度、中度和重度退化的滨海盐碱湿地。利用该方法对湿地复壮之后，可使复壮湿地区域的生态环境状况获得极大改善，具有重要的应用价值。
用于土壤工作盘的轮毂轴承组件,一种用于将土壤工作盘(D)旋转支撑在农用机械的支撑轴(A)上的轮毂轴承组件。所述组件包括：轮毂轴承单元(10)和密封设备(20)。所述轮毂轴承单元具有可旋转的径向外部外座圈(11)，法兰(12)从该外座圈一侧径向延伸，用于安装盘(D)。所述密封设备(20)安装在所述轮毂轴承单元(10)的侧部，相对着所述法兰(12)一侧。所述组件的径向外表面具有这样的部分(38)，其介于所述法兰(12)和所述密封设备(20)的所述侧部之间，该部分凹陷，从而作为优选支座，在使用农用机械过程中，用于绕制从田地中拾取的导线。
提高沙质土壤抗蒸发及保水能力的方法,本发明公开了一种提高沙质土壤抗蒸发及保水能力的方法，是将秸秆改良材料添加到土壤中与表层土壤充分混合，其添加标准为：当土壤中有机质含量小于0.5%时，秸秆改良材料添加量为1000-1200kg/亩；当土壤中有机质含量在0.5%-1.5%之间时，秸秆改良材料添加量为500-800kg/亩；当土壤中有机质含量大于1.5%时，秸秆改良材料添加量为200-300kg/亩。本方法成本较低，可以改善土壤结构，提高土壤肥力；不需要对沙化土地或耕地进行任何工程改造，无需后期管理。总之，本方法能够有效提高沙质土壤水分生态有效性、防治土壤沙化与水土流失，对提高单位面积作物产量大有帮助。
一种用于汽油机型微耕机的旱地刀,本发明公开了一种用于汽油机型微耕机的旱地刀，包括刀体和刀柄，在刀柄上开有两个通孔，所述两个通孔的中心距为30～40mm；所述刀柄的长度为50～70mm，宽度为20～30mm，厚度为4.5～5.5mm。本发明通过改变刀柄的几个关键参数，有效降低了旱地刀的重量，减小了旱地刀的负载，使其与汽油机的输出功率相匹配，并将该旱地刀与汽油机型微耕机配套使用，从而有效保证汽油机的使用寿命，且同时减少了生产刀具的原材料消耗量，降低了生产成本。
三片式防缠绕耕刀装置,本发明公开了一种三片式防缠绕耕刀装置，包括主刀轴，在该主刀轴上同轴套装三个刀盘，每个刀盘上均装有三片耕刀，在所述刀盘的周围设置三根与主刀轴相平行的防缠绕杆，该防缠绕杆靠近同一刀盘上各耕刀的刃口根部；所述防缠绕杆的两端与主刀轴两端的刀盘固定。本发明通过将防缠绕板改为防缠绕杆来减小它与土地表面的接触面积，从而有效减小耕刀刀体入土时的阻力，大幅提高微耕机的耕深，并降低微耕机的功率消耗，既适用于汽油机型微耕机，又可用于柴油机型微耕机。
一种旋耕犁,本发明公开一种旋耕犁，由拖拉机牵引铧式犁组成，在拖拉机牵引铧式犁的每个犁铧的正前方均设置有一个旋耕犁，旋耕犁的旋耕刀为“L”形单方向抛土旋耕刀，旋耕犁的抛土方向与犁铧的翻土方向相同，旋耕犁的旋耕宽度与犁铧的翻土宽度相同，旋耕犁的旋耕深度小于犁铧的翻土深度，旋耕犁的动力源为设置在犁身上部的变速箱，变速箱的输入轴与拖拉机的尾轴连接。其优点是具有前旋耕后犁翻能够使肥料与土壤均匀混合并且深埋地下的优点，土地松软，保墒性好，出苗率高，产量高；另外还有比普通拖拉机牵引铧式犁节油50%的优点。
小麦免耕播种机,本发明提供一种小麦免耕播种机，包括用于开沟破茬的刀片、用于播种的开沟器、镇压装置和机架，所述刀片、开沟器、镇压装置分别位于所述机架的前部、中部和后部，其中，所述刀片包括圆环板和设于所述圆环板的外周边的多个齿板，所述圆环板和所述多个齿板在同一平面上。本发明至少具有以下有益效果：基本不扰乱土层；质量轻，部件间传动可靠，所需配套动力小；并且可以快速斩断杂草和秸秆，不易拖草。
一种多角度选耕刀,本发明涉及一种多角度选耕刀，包括刀片连接轴，在刀片连接轴上安装有左刀片和右刀片，左刀片的底部向外延伸至端部形成圆台状结构，左刀片的端部向外延伸形成与左刀片连为一体的一组不同形状的左刀角；右刀片的底部向外延伸至端部形成圆台状结构，右刀片的端部向外延伸形成与右刀片连为一体的一组不同形状的右刀角，左刀片和右刀片的底部固定相接在一起，左刀片和右刀片的端部之间形成一定的间距。本发明有益的效果：该刀片具有多个功能，如：碎土、除草、开沟起垄、深耕、浅耕，向前行走，还可以向后行走，可根据作业者需要而选择，与原有刀片相比，更省料、更省工等特点。
鼠道犁仿生减阻扩孔器,本发明涉及农业耕作机械上的扩孔部件，特别是涉及一种仿生防粘减阻扩孔器。其目的是解决现有扩孔器粘土、磨损及阻力增大等问题。本发明的仿生减阻扩孔器之特征包括：扩孔器除连接部分外的主体部分采用圆柱型或圆锥形；采用超高分子量聚乙烯(UHMEPE)外套和结构钢芯，如此，结构钢芯棒可提高整体强度，芯棒的直径可经强度校核后确定，其直径与扩孔器外径之比采用0.1～0.6；扩孔器表面采用仿生几何结构表面设计，所谓仿生几何结构是指学习土壤洞穴动物表面几何结构具有减阻和耐磨功能的特征，设计鼠道犁扩孔器表面仿生几何结构。
